Applicability,Service,"Reporting period",Section,Indicator,Scope,Value
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",TOTAL,43449315
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",at,744291
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",be,1114119
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",bg,692691
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",cy,69785
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",cz,575844
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",de,3119495
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",dk,618154
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",ee,6786
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",es,5094859
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",fi,548361
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",fr,7589635
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",gr,1502744
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",hr,653184
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",hu,1107482
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",ie,598502
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",it,9414320
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",lt,227121
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",lu,50296
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",lv,248030
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",mt,72388
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",nl,1405510
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",pl,2981142
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",pt,1379729
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",ro,2120405
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",se,1024000
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",si,123072
"Only for VLOPs and VLOSEs",XNXX.COM,2025-07-01/2025-12-31,AMAR,"Number of average monthly active recipients during the reporting period",sk,367370
