Applicability,Service,"Reporting period",Section,Indicator,Scope,Value,"Contextual information"
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of internal moderators employed by the provider","Total number",44,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of external moderators contracted by the provider","Total number",9,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise","Total number",53,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",cs,37,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",de,1,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",en,53,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",es,6,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",fr,1,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",it,2,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",pl,1,
"Only for VLOPs",XNXX.COM,2025-07-01/2025-12-31,"Human resources dedicated to content moderation","Number of total moderators with sufficient linguistic expertise",sk,17,
