Applicability,Service,Reporting period,Section,Indicator,Scope,Value,,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,"157,643,436",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,AT,"1,507,148",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BE,"2,921,808",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,BG,"998,810",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CY,"239,902",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,CZ,"2,127,787",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DE,"21,593,378",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,DK,"861,849",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,EE,"408,524",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,ES,"36,354,623",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FI,"1,463,963",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,FR,"27,951,364",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,GR,"1,297,140",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HR,"973,090",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,HU,"1,660,793",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IE,"1,117,942",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,IT,"16,898,607",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LT,"1,326,592",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LU,"187,604",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,LV,"619,888",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,MT,"210,699",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,NL,"11,822,047",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PL,"13,278,264",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,PT,"5,580,792",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,RO,"4,858,448",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SE,"2,219,173",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SI,"440,746",,
Only for VLOPs and VLOSEs,Aliexpress,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period,SK,"916,399",,
