Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,130517,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,103148,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,0,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,27369,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,22,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,0,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,114,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,128672,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,101449,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,0,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,27223,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,22,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,76,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,71,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,0,
Only for providers of online platforms,Aliexpress,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,5,
