Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,127516347,
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,2140493,
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,97.27%,"Because all content moderation engaged in at AliExpress's own-initiative is processed solely or partially via automated means and content moderation not at its own-initiative (for example, by its notice and action mechanism) is processed exclusively through manual review, the total number scope and own-initiative scope values are identical."
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,96.96%,"Because all content moderation engaged in at AliExpress's own-initiative is processed solely or partially via automated means and content moderation not at its own-initiative (for example, by its notice and action mechanism) is processed exclusively through manual review, the total number scope and own-initiative scope values are identical."
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,99.86%,"Because all content moderation engaged in at AliExpress's own-initiative is processed solely or partially via automated means and content moderation not at its own-initiative (for example, by its notice and action mechanism) is processed exclusively through manual review, the total number scope and own-initiative scope values are identical."
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,127516347,
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,1903674,
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,97.27%,"This value indicates, among content fully or partially processed by our automated systems, the percentage of flags generated by automated means that are correct (i.e., flagged content whose moderation decisions were not overturned during the reporting period, and unflagged content that did not incur moderation during the reporting period). This indicator demonstrates the overall accuracy of our automated means, including their ability to correctly flag content as compliant or requiring moderation during the reporting period."
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,96.96%,This value reflects the percentage of all flagged content with non-overturned moderation relative to all content flagged by the automated system. This indicator demonstrates how precise our automated means when flag a content as non-compliant or illegal during the reporting period.
All,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative ,99.86%,This value indicates the percentage of all moderations made during the reporting period that were successfully identified and flagged by the automated system relative to all non-overturned moderation. This indicator demonstrates the coverage of the flags by automated means on all illegal or non-compliant content during the reporting period.
"Only for providers of hosting services, including online platforms",Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,0 ,
"Only for providers of hosting services, including online platforms",Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,547070,
"Only for providers of hosting services, including online platforms",Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,/,
"Only for providers of hosting services, including online platforms",Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,/,
"Only for providers of hosting services, including online platforms",Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,/,
Only for providers of online platforms,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,0,
Only for providers of online platforms,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,160,
Only for providers of online platforms,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,/,
Only for providers of online platforms,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,/,
Only for providers of online platforms,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,/,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ar,923,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,bn,1,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,de,29734,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,en,116549143,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,es,693158,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,fr,65524,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,he,96,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,id,96,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,it,68798,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,iw,0,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ja,1157,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ko,859,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ms,140,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,nl,27400,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,pl,81126,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,pt,17051,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ru,9860075,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,th,2,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,tr,2257,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,uk,294,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ur,9,
Only for VLOPs,Aliexpress,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,vi,116,
