Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,427067.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,140473.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,1.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,286593.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,11.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,17032.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,11466.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,5566.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,5.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Total number,406828.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions upheld,125913.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions partially reversed,,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions reversed,280915.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Median time,12.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions partially reversed,,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions reversed,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Median time,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,3207.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,3094.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,1.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,112.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,32.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,138.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,137.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,0.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,1.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,50.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,179.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,13.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,5.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,808.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,152.0,
Only for providers of online platforms,Amazon Store,2025-07-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0.2,
