Start Date,End Date,Android API Version,PHA Rate
2017-01-01,2017-03-31,KitKat,0.006822238
2017-01-01,2017-03-31,Lollipop,0.00827738
2017-01-01,2017-03-31,Marshmallow,0.002224475
2017-01-01,2017-03-31,Nougat,9.640741E-4
2017-04-01,2017-06-30,KitKat,0.005664201
2017-04-01,2017-06-30,Lollipop,0.0056693186
2017-04-01,2017-06-30,Marshmallow,0.0025269284
2017-04-01,2017-06-30,Nougat,0.0013418457
2017-04-01,2017-06-30,Oreo,5.012972E-4
2017-07-01,2017-09-30,KitKat,0.0073738266
2017-07-01,2017-09-30,Lollipop,0.007037832
2017-07-01,2017-09-30,Marshmallow,0.0042782295
2017-07-01,2017-09-30,Nougat,0.0018612938
2017-07-01,2017-09-30,Oreo,6.429496E-4
2017-10-01,2017-12-31,KitKat,0.0082863
2017-10-01,2017-12-31,Lollipop,0.0077991663
2017-10-01,2017-12-31,Marshmallow,0.006413578
2017-10-01,2017-12-31,Nougat,0.0020007177
2017-10-01,2017-12-31,Oreo,0.0012735287
2018-01-01,2018-03-31,KitKat,0.007199328
2018-01-01,2018-03-31,Lollipop,0.006907262
2018-01-01,2018-03-31,Marshmallow,0.0056188707
2018-01-01,2018-03-31,Nougat,0.002049133
2018-01-01,2018-03-31,Oreo,0.0012822155
2018-01-01,2018-03-31,Pie,3.2961962E-4
2018-04-01,2018-06-30,KitKat,0.0056367237
2018-04-01,2018-06-30,Lollipop,0.006796846
2018-04-01,2018-06-30,Marshmallow,0.004539889
2018-04-01,2018-06-30,Nougat,0.0021844497
2018-04-01,2018-06-30,Oreo,0.0010477975
2018-04-01,2018-06-30,Pie,3.9796648E-4
2018-07-01,2018-09-30,KitKat,0.003857518
2018-07-01,2018-09-30,Lollipop,0.0059444085
2018-07-01,2018-09-30,Marshmallow,0.0050882967
2018-07-01,2018-09-30,Nougat,0.003231679
2018-07-01,2018-09-30,Oreo,0.0015922165
2018-07-01,2018-09-30,Pie,6.3982856E-4
2018-10-01,2018-12-31,KitKat,0.004149068
2018-10-01,2018-12-31,Lollipop,0.006394283
2018-10-01,2018-12-31,Marshmallow,0.006651173
2018-10-01,2018-12-31,Nougat,0.003968889
2018-10-01,2018-12-31,Oreo,0.0022912202
2018-10-01,2018-12-31,Pie,0.002063099
2019-01-01,2019-03-31,KitKat,0.00455323
2019-01-01,2019-03-31,Lollipop,0.006264762
2019-01-01,2019-03-31,Marshmallow,0.006535509
2019-01-01,2019-03-31,Nougat,0.0031734437
2019-01-01,2019-03-31,Oreo,0.001693454
2019-01-01,2019-03-31,Pie,0.0010088368
2019-04-01,2019-06-30,KitKat,0.00898703
2019-04-01,2019-06-30,Lollipop,0.0088659
2019-04-01,2019-06-30,Marshmallow,0.009408054
2019-04-01,2019-06-30,Nougat,0.0061399736
2019-04-01,2019-06-30,Oreo,0.003234982
2019-04-01,2019-06-30,Pie,0.0014353987
