12-month Rolling End Date,Market Type,PHA Rate
2019-01-01,Enterprise devices,6.8887675E-5
2019-01-01,All Devices,8.2028616E-4
2019-01-02,Enterprise devices,6.9278314E-5
2019-01-02,All Devices,8.198768E-4
2019-01-03,Enterprise devices,6.9688744E-5
2019-01-03,All Devices,8.1978313E-4
2019-01-04,Enterprise devices,7.009976E-5
2019-01-04,All Devices,8.1989437E-4
2019-01-05,Enterprise devices,7.049418E-5
2019-01-05,All Devices,8.199668E-4
2019-01-06,Enterprise devices,7.0889735E-5
2019-01-06,All Devices,8.2007283E-4
2019-01-07,Enterprise devices,7.127835E-5
2019-01-07,All Devices,8.20173E-4
2019-01-08,Enterprise devices,7.1653085E-5
2019-01-08,All Devices,8.20281E-4
2019-01-09,Enterprise devices,7.2018185E-5
2019-01-09,All Devices,8.20401E-4
2019-01-10,Enterprise devices,7.2384995E-5
2019-01-10,All Devices,8.205958E-4
2019-01-11,Enterprise devices,7.275317E-5
2019-01-11,All Devices,8.207717E-4
2019-01-12,Enterprise devices,7.312264E-5
2019-01-12,All Devices,8.2088745E-4
2019-01-13,Enterprise devices,7.348926E-5
2019-01-13,All Devices,8.209197E-4
2019-01-14,Enterprise devices,7.3855124E-5
2019-01-14,All Devices,8.2090596E-4
2019-01-15,Enterprise devices,7.42136E-5
2019-01-15,All Devices,8.20891E-4
2019-01-16,Enterprise devices,7.4595235E-5
2019-01-16,All Devices,8.208837E-4
2019-01-17,Enterprise devices,7.500699E-5
2019-01-17,All Devices,8.208617E-4
2019-01-18,Enterprise devices,7.548591E-5
2019-01-18,All Devices,8.207485E-4
2019-01-19,Enterprise devices,7.6001976E-5
2019-01-19,All Devices,8.2053477E-4
2019-01-20,Enterprise devices,7.6523786E-5
2019-01-20,All Devices,8.202853E-4
2019-01-21,Enterprise devices,7.70483E-5
2019-01-21,All Devices,8.2000997E-4
2019-01-22,Enterprise devices,7.754686E-5
2019-01-22,All Devices,8.1974716E-4
2019-01-23,Enterprise devices,7.802301E-5
2019-01-23,All Devices,8.1951666E-4
2019-01-24,Enterprise devices,7.847548E-5
2019-01-24,All Devices,8.1932434E-4
2019-01-25,Enterprise devices,7.889989E-5
2019-01-25,All Devices,8.1914454E-4
2019-01-26,Enterprise devices,7.9315214E-5
2019-01-26,All Devices,8.1896386E-4
2019-01-27,Enterprise devices,7.972374E-5
2019-01-27,All Devices,8.1878225E-4
2019-01-28,Enterprise devices,8.0107144E-5
2019-01-28,All Devices,8.186396E-4
2019-01-29,Enterprise devices,8.047506E-5
2019-01-29,All Devices,8.1854913E-4
2019-01-30,Enterprise devices,8.082939E-5
2019-01-30,All Devices,8.1847527E-4
2019-01-31,Enterprise devices,8.1169856E-5
2019-01-31,All Devices,8.183982E-4
2019-02-01,Enterprise devices,8.148783E-5
2019-02-01,All Devices,8.183419E-4
2019-02-02,Enterprise devices,8.180085E-5
2019-02-02,All Devices,8.1829884E-4
2019-02-03,Enterprise devices,8.210348E-5
2019-02-03,All Devices,8.1823266E-4
2019-02-04,Enterprise devices,8.239136E-5
2019-02-04,All Devices,8.1809907E-4
2019-02-05,Enterprise devices,8.2667444E-5
2019-02-05,All Devices,8.1793574E-4
2019-02-06,Enterprise devices,8.293176E-5
2019-02-06,All Devices,8.1778504E-4
2019-02-07,Enterprise devices,8.318739E-5
2019-02-07,All Devices,8.1766216E-4
2019-02-08,Enterprise devices,8.342795E-5
2019-02-08,All Devices,8.1757293E-4
2019-02-09,Enterprise devices,8.3662075E-5
2019-02-09,All Devices,8.175286E-4
2019-02-10,Enterprise devices,8.3887186E-5
2019-02-10,All Devices,8.174881E-4
2019-02-11,Enterprise devices,8.410229E-5
2019-02-11,All Devices,8.174314E-4
2019-02-12,Enterprise devices,8.430855E-5
2019-02-12,All Devices,8.173828E-4
2019-02-13,Enterprise devices,8.451166E-5
2019-02-13,All Devices,8.174038E-4
2019-02-14,Enterprise devices,8.471365E-5
2019-02-14,All Devices,8.1751845E-4
2019-02-15,Enterprise devices,8.4900275E-5
2019-02-15,All Devices,8.175755E-4
2019-02-16,Enterprise devices,8.507524E-5
2019-02-16,All Devices,8.176056E-4
2019-02-17,Enterprise devices,8.523905E-5
2019-02-17,All Devices,8.176294E-4
2019-02-18,Enterprise devices,8.5399246E-5
2019-02-18,All Devices,8.176618E-4
2019-02-19,Enterprise devices,8.5552616E-5
2019-02-19,All Devices,8.177111E-4
2019-02-20,Enterprise devices,8.5700405E-5
2019-02-20,All Devices,8.1781496E-4
2019-02-21,Enterprise devices,8.583874E-5
2019-02-21,All Devices,8.179422E-4
2019-02-22,Enterprise devices,8.596006E-5
2019-02-22,All Devices,8.1803807E-4
2019-02-23,Enterprise devices,8.6072236E-5
2019-02-23,All Devices,8.1812026E-4
2019-02-24,Enterprise devices,8.617552E-5
2019-02-24,All Devices,8.1819255E-4
2019-02-25,Enterprise devices,8.627445E-5
2019-02-25,All Devices,8.18262E-4
2019-02-26,Enterprise devices,8.636236E-5
2019-02-26,All Devices,8.183349E-4
2019-02-27,Enterprise devices,8.6439184E-5
2019-02-27,All Devices,8.18427E-4
2019-02-28,Enterprise devices,8.651203E-5
2019-02-28,All Devices,8.1858126E-4
2019-03-01,Enterprise devices,8.658341E-5
2019-03-01,All Devices,8.1878563E-4
2019-03-02,Enterprise devices,8.665735E-5
2019-03-02,All Devices,8.1905606E-4
2019-03-03,Enterprise devices,8.672575E-5
2019-03-03,All Devices,8.193127E-4
2019-03-04,Enterprise devices,8.679374E-5
2019-03-04,All Devices,8.195318E-4
2019-03-05,Enterprise devices,8.685196E-5
2019-03-05,All Devices,8.197445E-4
2019-03-06,Enterprise devices,8.6910644E-5
2019-03-06,All Devices,8.199635E-4
2019-03-07,Enterprise devices,8.6966495E-5
2019-03-07,All Devices,8.201982E-4
2019-03-08,Enterprise devices,8.701939E-5
2019-03-08,All Devices,8.2044257E-4
2019-03-09,Enterprise devices,8.7068875E-5
2019-03-09,All Devices,8.2066964E-4
2019-03-10,Enterprise devices,8.712115E-5
2019-03-10,All Devices,8.2088076E-4
2019-03-11,Enterprise devices,8.718045E-5
2019-03-11,All Devices,8.210975E-4
2019-03-12,Enterprise devices,8.7241446E-5
2019-03-12,All Devices,8.21326E-4
2019-03-13,Enterprise devices,8.7315515E-5
2019-03-13,All Devices,8.218007E-4
2019-03-14,Enterprise devices,8.7406916E-5
2019-03-14,All Devices,8.2257343E-4
2019-03-15,Enterprise devices,8.7505585E-5
2019-03-15,All Devices,8.2335906E-4
2019-03-16,Enterprise devices,8.760203E-5
2019-03-16,All Devices,8.241454E-4
2019-03-17,Enterprise devices,8.769561E-5
2019-03-17,All Devices,8.2489476E-4
2019-03-18,Enterprise devices,8.7780616E-5
2019-03-18,All Devices,8.256022E-4
2019-03-19,Enterprise devices,8.7867294E-5
2019-03-19,All Devices,8.2629477E-4
2019-03-20,Enterprise devices,8.7964356E-5
