12-month Rolling End Date,Region,PHA Rate
2020-01-01,BR,3.1161265E-4
2020-01-01,DE,7.9763157E-4
2020-01-01,ID,0.0017802108
2020-01-01,IN,0.0015797777
2020-01-01,JP,1.6992782E-4
2020-01-01,KR,7.185178E-4
2020-01-01,MX,8.0308085E-4
2020-01-01,RU,3.4634303E-4
2020-01-01,TR,0.0011829087
2020-01-01,US,8.363849E-4
2020-01-02,BR,3.106081E-4
2020-01-02,DE,7.968018E-4
2020-01-02,ID,0.0017731012
2020-01-02,IN,0.0015776019
2020-01-02,JP,1.6966985E-4
2020-01-02,KR,7.180679E-4
2020-01-02,MX,8.01732E-4
2020-01-02,RU,3.446199E-4
2020-01-02,TR,0.0011813197
2020-01-02,US,8.355262E-4
2020-01-03,BR,3.0969383E-4
2020-01-03,DE,7.964053E-4
2020-01-03,ID,0.001767537
2020-01-03,IN,0.0015759617
2020-01-03,JP,1.6943649E-4
2020-01-03,KR,7.177901E-4
2020-01-03,MX,8.0039597E-4
2020-01-03,RU,3.4296754E-4
2020-01-03,TR,0.0011794447
2020-01-03,US,8.347843E-4
2020-01-04,BR,3.0872689E-4
2020-01-04,DE,7.95489E-4
2020-01-04,ID,0.0017624579
2020-01-04,IN,0.0015733762
2020-01-04,JP,1.6912878E-4
2020-01-04,KR,7.172613E-4
2020-01-04,MX,7.988299E-4
2020-01-04,RU,3.4137318E-4
2020-01-04,TR,0.001177008
2020-01-04,US,8.3383435E-4
2020-01-05,BR,3.0785025E-4
2020-01-05,DE,7.94785E-4
2020-01-05,ID,0.0017568361
2020-01-05,IN,0.0015710073
2020-01-05,JP,1.6887259E-4
2020-01-05,KR,7.167118E-4
2020-01-05,MX,7.9745665E-4
2020-01-05,RU,3.3998082E-4
2020-01-05,TR,0.0011748819
2020-01-05,US,8.329691E-4
2020-01-06,BR,3.0681802E-4
2020-01-06,DE,7.938581E-4
2020-01-06,ID,0.0017513939
2020-01-06,IN,0.0015683677
2020-01-06,JP,1.685622E-4
2020-01-06,KR,7.156463E-4
2020-01-06,MX,7.95799E-4
2020-01-06,RU,3.385065E-4
2020-01-06,TR,0.0011723473
2020-01-06,US,8.3172927E-4
2020-01-07,BR,3.053913E-4
2020-01-07,DE,7.921712E-4
2020-01-07,ID,0.0017452706
