Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,> 45
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,2.1 - 2.6
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BE,2.4 - 2.9
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BG,0.8 - 1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CY,0.3 - 0.3
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CZ,1.7 - 2.1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DE,15.6 - 19.1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DK,1.1 - 1.3
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,EE,0.3 - 0.3
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,ES,10.9 - 13.3
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FI,0.9 - 1.1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FR,12.3 - 15
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,GR,1.8 - 2.2
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HR,0.7 - 0.8
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HU,1.1 - 1.4
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IE,1.7 - 2.1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IT,10.8 - 13.2
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LT,0.5 - 0.6
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LU,0.2 - 0.2
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LV,0.3 - 0.4
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,MT,0.2 - 0.2
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,NL,4.2 - 5.1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PL,5.8 - 7.1
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PT,2.1 - 2.6
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,RO,1.9 - 2.3
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SE,1.8 - 2.2
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SI,0.4 - 0.5
Only for VLOPs and VLOSEs,Booking.com ,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SK,0.7 - 0.8
"""* Value: 

The methodologies used to estimate average monthly recipients* as defined in the DSA require significant judgement and design inputs, are subject to data and other limitations, and inherently are subject to statistical variances and uncertainties. To account for these challenges a range is provided which is based on a margin applied to the best available data during the reporting period, rounded to the nearest one hundred thousand. 

This information are only estimates and are based on the data available to Booking.com at this time, and the limited guidance in the DSA. This information is required to be published under the DSA, may differ from other user metrics reported to other regulatory authorities, and should not be used for other purposes. This information may be revised upwards or downwards as Booking.com refines its approach and in response to the publication of methodology by the European Commission.
 
Please refer to the Booking Holdings Inc. Investor Relations website for metrics we consider relevant to Booking.com business.

* ‘recipient of service’ is defined under the DSA to mean 'any natural or legal person who uses an intermediary service, in particular for the purposes of seeking information and making it accessible'. This requires counting users to whom information was displayed by the Booking.com service, even if that user did not make a transaction.""                                                
                                                ",,,,,,
,,,,,,
Methodology,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
