ty,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,"37,220",
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,"25,179",
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,391,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,"11,610",
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,135, In Hours
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,"38,087",
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,"25,179",
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,391,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,"11,610",
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,138, In Hours
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Total number,6,
