Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of internal moderators employed by the provider,Total number,15,Content Moderators in Booking.com
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of external moderators contracted by the provider,Total number,33,Vendor Content Moderator 
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,Total number,48,Employed and Contracted Content Moderators
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,en,48,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,es,8,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,fr,5,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,de,4,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,it,3,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,nl,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,el,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,bs,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ro,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ru,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ar,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,zh,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ja,1,Number of Employed and Contracted Content Moderators with expetise per language
Only for VLOPs,Booking.com ,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,tl,6,Number of Employed and Contracted Content Moderators with expetise per language
