Warns,,,,,,
,,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,,
Child Safety,"3,185","1,146","23,043",,,
Deceptive Practices,131,0,0,,,
Exploitative and Unsolicited Content,"7,494",203,"371,489",,,
Harassment and Bullying,"3,713",223,"16,936",,,
Hateful Conduct,"1,422",419,"63,872",,,
Identity and Authenticity,16,0,0,,,
Misinformation,5,8,"8,797",,,
Platform Manipulation,52,20,52,,,
Regulated or Illegal Activities,2,22,"771,830",,,
Self-Harm Concerns,222,0,0,,,
Violent and Graphic Content,"1,567",289,"34,945",,,
Violent Extremism,--,--,--,,,
,,,,,,
Total:,"17,809","2,330","1,290,964",,,
,,,,,,
Accounts Disabled,,,,,,
,,,,,,
Accounts Disabled Category,Accounts Disabled,,,,,
Child Safety,"42,458",,,,,
Deceptive Practices,"8,800",,,,,
Exploitative and Unsolicited Content,"47,570",,,,,
Harassment and Bullying,"11,347",,,,,
Hateful Conduct,"7,104",,,,,
Identity and Authenticity,"3,561",,,,,
Misinformation,385,,,,,
Platform Manipulation,"1,197",,,,,
Regulated or Illegal Activities,"37,248",,,,,
Self-Harm Concerns,"1,297",,,,,
Violent and Graphic Content,"12,300",,,,,
Violent Extremism,"12,489",,,,,
,,,,,,
Total:,"185,756",,,,,
,,,,,,
NCMEC,,,,,,
,,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,,
January,"4,586",17,"4,603",,,
February,"4,580",20,"4,600",,,
March,"5,137",26,"5,163",,,
,,,,,,
Total,"14,303",63,"14,366",,,
,,,,,,
Servers Removed,,,,,,
,,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,,
Child Safety,"13,318","1,133","14,451",,,
Deceptive Practices,"1,049","1,088","2,137",,,
Exploitative and Unsolicited Content,773,"1,064","1,837",,,
Harassment and Bullying,61,494,555,,,
Hateful Conduct,287,542,829,,,
Identity and Authenticity,4,9,13,,,
Misinformation,41,11,52,,,
Platform Manipulation,250,406,656,,,
Regulated or Illegal Activities,"4,385","2,565","6,950",,,
Self-Harm Concerns,285,325,610,,,
Violent and Graphic Content,595,718,"1,313",,,
Violent Extremism,483,570,"1,053",,,
,,,,,,
Total:,"21,531","8,925","30,456",,,
,,,,,,
Appeals,,,,,,
,,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted,% Accounts Unbanned
Child Safety,"42,458","7,761",18.28%,181,2.33%,0.43%
Deceptive Practices,"8,800",932,10.59%,57,6.12%,0.65%
Exploitative and Unsolicited Content,"47,570","3,326",6.99%,282,8.48%,0.59%
Harassment and Bullying,"11,347","3,403",29.99%,246,7.23%,2.17%
Hateful Conduct,"7,104","1,853",26.08%,96,5.18%,1.35%
Identity and Authenticity,"3,561",209,5.87%,18,8.61%,0.51%
Misinformation,385,45,11.69%,1,2.22%,0.26%
Platform Manipulation,"1,197",267,22.31%,2,0.75%,0.17%
Regulated or Illegal Activities,"37,248","5,773",15.50%,405,7.02%,1.09%
Self-Harm Concerns,"1,297",294,22.67%,16,5.44%,1.23%
Violent and Graphic Content,"12,300","2,684",21.82%,23,0.86%,0.19%
Violent Extremism,"12,489","2,189",17.53%,7,0.32%,0.06%
,,,,,,
Sum:,"185,756","28,736",15.47%,"1,334",4.64%,0.72%
,,,,,,
Reports,,,,,,
,,,,,,
Report Category,Reports Received,Reports Actioned,% of Reports Actioned,,,
Child Safety,"15,106","3,536",23.41%,,,
Deceptive Practices,"23,716","5,365",22.62%,,,
Exploitative and Unsolicited Content,"9,360",559,5.97%,,,
Harassment and Bullying,"37,978","5,048",13.29%,,,
Hateful Conduct,"22,495",827,3.68%,,,
Identity and Authenticity,"5,769","1,179",20.44%,,,
Misinformation,703,197,28.02%,,,
Platform Manipulation,"4,317",416,9.64%,,,
Regulated or Illegal Activities,"5,519","1,207",21.87%,,,
Self-Harm Concerns,"2,043",65,3.18%,,,
Violent and Graphic Content,"4,882","1,010",20.69%,,,
Violent Extremism,"2,775",979,35.28%,,,
,,,,,,
Total:,"134,663","20,388",15.14%,,,
,,,,,,
Legal,,,,,,
,,,,,,
Request Type,Requests,Information Produced,,,,
Court Orders,17,13,,,,
Pen Register / Trap and Trace,3,2,,,,
Search Warrants,437,307,,,,
Subpoenas,485,411,,,,
,,,,,,
Total,942,733,,,,
,,,,,,
Request Type,Requests,Complied,,,,
Preservation Requests,609,508,,,,
