Period Ending,Product,Country/Region of Origin,Assisting Country,Enterprise Diplomatic Legal requests
2019-12-31,GSUITE,,,0
2020-06-30,GSUITE,,,0
2020-12-31,GSUITE,Colombia,United States,1
2020-12-31,GSUITE,Ireland,United States,1
2020-12-31,GSUITE,Japan,United States,1
2021-06-30,GSUITE,,,0
2021-12-31,GSUITE,,,0
2022-06-30,GSUITE,Latvia,Ireland,1
2022-06-30,GSUITE,Poland,Ireland,1
2022-12-31,GSUITE,France,Ireland,1
2022-12-31,GSUITE,Latvia,Ireland,1
2022-12-31,GSUITE,Netherlands,Ireland,1
2023-06-30,GSUITE,Canada,United States,1
2023-06-30,GSUITE,Latvia,Ireland,1
2023-06-30,GSUITE,Switzerland,United States,1
2023-12-31,GSUITE,Latvia,Ireland,1
2023-12-31,GSUITE,Slovakia,United States,1
2023-12-31,GSUITE,Switzerland,United States,1
2024-06-30,GSUITE,Lithuania,United States,1
2024-06-30,GSUITE,Poland,United States,1
2025-06-30,GSUITE,Germany,United States,1
2025-06-30,GSUITE,Portugal,Ireland,2
2025-06-30,GSUITE,Slovakia,United States,1
2025-06-30,GSUITE,Switzerland,United States,1
