Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,,It is unknown if own initiative measures were taken solely by automated means or not.
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,3121,It is unknown if own initiative measures were taken solely by automated means or not.
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative 
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative 
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative 
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative 
All,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative 
"Only for providers of hosting services, including online platforms",Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total
"Only for providers of hosting services, including online platforms",Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,6181
"Only for providers of hosting services, including online platforms",Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total
"Only for providers of hosting services, including online platforms",Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total
"Only for providers of hosting services, including online platforms",Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total
Only for providers of online platforms,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger
Only for providers of online platforms,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,37
Only for providers of online platforms,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger
Only for providers of online platforms,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger
Only for providers of online platforms,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,bg
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,[...]
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,sv
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,bg
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,[...]
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sv
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...]
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...]
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...]
Only for VLOPs,Multi-Services,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv
