Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,640935582,"Google Shopping metrics reflect content moderation actions taken on both unpaid content (e.g., free listings) and advertisements. This note applies to relevant metrics on this tab."
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,1055125058
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,"As total accuracy cannot be aggregated across different automated systems, where relevant, accuracy is provided under 'Own initiative' and 'NAM total' below."
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,,"As total precision cannot be aggregated across different automated systems, where relevant, precision is provided under 'Own initiative' and 'NAM total' below."
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,"As total recall cannot be aggregated across different automated systems, where relevant, recall is provided under 'Own initiative' and 'NAM total' below."
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,640935582
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,1055123955
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative ,1,Google Shopping Automated Classification System
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative ,0.9987,Google Shopping Automated Classification System
All,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative ,1,Google Shopping Automated Classification System
"Only for providers of hosting services, including online platforms",Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total
"Only for providers of hosting services, including online platforms",Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,2807
"Only for providers of hosting services, including online platforms",Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total
"Only for providers of hosting services, including online platforms",Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total
"Only for providers of hosting services, including online platforms",Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total
Only for providers of online platforms,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger
Only for providers of online platforms,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,3
Only for providers of online platforms,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger
Only for providers of online platforms,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger
Only for providers of online platforms,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,bg,14720
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,hr,95
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,cs,851003
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,da,343569
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,nl,635144
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,en,27789804
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,et,699
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,fi,37677
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,fr,1161801
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,de,9093133
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,el,244118
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,hu,146754
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ga,1
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,it,2620485
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,lv,188
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,lt,135
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,mt,29
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,pl,368286
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,pt,237627
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,ro,82861
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,sk,139719
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,sl,54
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,es,626634
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means ,sv,130827
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,bg,4
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,hr,1
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,cs,12917
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,da,62278
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,nl,572033
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,en,1034368
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,et,1
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,fi,5519
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,fr,2914861
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,de,11424344
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,el,73
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,hu,1258
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,ga
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,it,2915136
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,lv,2
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,lt,1
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,mt
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,pl,127071
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,pt,4628
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,ro,1995
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sk,1423
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sl,2
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,es,1366663
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,sv,19343
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,bg,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,hr,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,cs,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,da,0.9998,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,nl,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,en,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,et,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,fi,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,fr,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,de,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,el,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,hu,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,ga,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,it,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,lv,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,lt,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,mt,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,pl,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,pt,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,ro,0.9998,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sk,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sl,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,es,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,hr,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,cs,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,da,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,nl,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,en,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,et,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fi,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fr,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,el,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,hu,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,ga,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,it,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,lv,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,lt,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,mt,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,pl,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,pt,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,ro,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,sk,0.9999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,sl,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,es,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,sv,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,bg,0.9996,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,hr,1,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,cs,0.9957,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,da,0.9913,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,nl,0.9943,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,en,0.999,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,et,0.9708,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,fi,0.9978,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,fr,0.9989,Google Shopping Automated Classification System
Only for VLOPs,Google Shopping,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,de,0.9995,Google Shopping Automated Classification System
