Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,TOTAL,,TOTAL,0,,,,0,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ANIMAL_HARM,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,,,,0,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_HARASSMENT,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_INCITEMENT,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_STALKING,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,0,,,,0,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DATA_FALSIFICATION,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,
