Applicability,Service,Reporting period,Indicator,Value
All,Alibaba Cloud,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers� own initiative,Alibaba Cloud did not engage in content moderation as defined in the DSA at its own initiative during the Reporting Period.
All,Alibaba Cloud,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,Not applicable.
All,Alibaba Cloud,2025-01-01/2025-12-31,Qualitative description of the automated means,Alibaba Cloud did not engage automated means for the purpose of content moderation during the Reporting Period.
All,Alibaba Cloud,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,Not applicable.
All,Alibaba Cloud,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,Not applicable.
All,Alibaba Cloud,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,Not applicable.
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation ,
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation��,
