Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other"" linked to our Community Guidelines",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Bumble,2025-01-01/2025-12-31,TOTAL,,TOTAL,,,,,38,,00:44:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,,,,,5,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,TOTAL,,,,,2,,00:40:16,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,TOTAL,,,,,3,,07:08:35,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,,,,,3,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,TOTAL,,,,,3,,00:05:21,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,TOTAL,,,,,2,,00:47:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,TOTAL,,,,,2,,00:41:13,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,,,,,15,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,TOTAL,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,TOTAL,,,,,15,,01:11:39,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,,,,,10,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,TOTAL,,,,,10,,01:07:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,TOTAL,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,TOTAL,,,,,1,,00:35:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Austria,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Austria,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Austria,,,,,1,,00:20:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Austria,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Austria,,,,,1,,00:12:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Austria,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Cyprus,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Cyprus,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Cyprus,,,,,,,,,,,,,,
