Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other"" linked to our Community Guidelines",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,TOTAL,,1148,,1148,,04:06:00,,2,,187,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,,,,,,,,,,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,65,,65,,03:30:00,,,,7,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,173,,173,,6:1,,,,26,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,108,,108,,05:36:00,,1,,18,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
"Only for providers of hosting services, including online platforms",Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,136,,136,,06:24:00,,1,,3,,"A large portion of the total number of notices received, are not reporting illegal content or misreporting content as illegal content.",,"Due to the nature of the service, notices may relate to profiles instead of individual pieces of content within the profile and as a result of system constraints the total number or specific items reported may be slightly under-reported.",,,,,,,
