Applicabilité,Service,Période couverte par le rapport,Indicateur,Valeur
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Récapitulatif des activités de modération des contenus auxquelles se sont livrés les fournisseurs de leur propre initiative,"- Retrait des offres ou produits étant en violation d'accords de distribution sélective
- Suspension des vendeurs n'ayant pas mis de Conditions Générales de Vente à disposition des utilisateurs sur le site
- Retrait de produits jugés interdits, non conformes ou dangereux (respect de la réglementation en vigueur, rappels produits, caractéristiques trompeuses liées à la santé)
- Suspension des vendeurs ayant un niveau de qualité de service incompatible avec nos Conditions Générales sur une période prolongée, en attente de leur mise en conformité
- Retrait de produits à caractère sexuel pour adultes"
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Informations utiles et compréhensibles sur les activités de modération des contenus auxquelles se sont livrés les fournisseurs de leur propre initiative,
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Description qualitative des moyens automatisés,"- Système de détection automatisé d'indicateurs de qualité de service, permettant de fixer des seuils sur une durée déterminée et de suspendre les vendeurs tiers si le seuil n'est pas atteint"
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Description qualitative des indicateurs de précision et du taux d’erreur possible des moyens automatisés,"Outil précis, pas d'erreur possible"
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Indication des objectifs précis du recours à des moyens automatisés,"Contrôle de la qualité de service des vendeurs, afin d'assurer la satisfaction des clients et d'éviter les abus"
Tous,Marketplace Carrefour.fr,2025-01-01/2025-12-31,Mesures de sauvegarde appliquées en cas de recours à des moyens automatisés,"- Recours possible pour les vendeurs via email à leur contact désigné Carrefour
- Possibilité pour Carrefour de retirer la suspension immédiatement dans les systèmes informatiques et rétablir leurs offres"
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Description générale de la structure de gouvernance des activités de modération des contenus,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Qualifications des ressources humaines chargées de la modération des contenus,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Formation dispensée aux ressources humaines chargées de la modération des contenus,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Accompagnement apporté aux ressources humaines chargées de la modération des contenus,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Méthodologie utilisée pour calculer le nombre de ressources humaines chargées de la modération des contenus,
