Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the receipt of the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Cloudflare,2025-07-01/2025-12/31,TOTAL,,TOTAL,TOTAL,1372,0,350,2,0,337,,,,Cloudflare measures median time to give effect as either implementing a geoblock on the websites using Cloudflare CDN services indicated in the order or responding to the requesting member state that the websites in question are not using Cloudflare services.,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_ANIMAL_HARM,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_HARASSMENT,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_INCITEMENT,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_STALKING,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
