Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
TOTAL,All the entries,TOTAL,"At Dailymotion, we have 13 reporting categories and 11 removal categories. This allows us to align the categories selected by users when reporting content with our removal reasons, ensuring greater clarity and transparency in our moderation process. We are currently working on implementing more granularity in our removal reasons to provide even more precise categorization and justification for our content moderation decisions."
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Category 1c,Not captured by any other sub-category,KEYWORD_OTHER,
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Category 2a,"Hidden advertisement or commercial communication, including by influencers",KEYWORD_HIDDEN_ADVERTISEMENT,
Category 2b,Insufficient information on traders,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Category 2c,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Category 2d,Misleading information about the consumer’s rights,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Category 2e,Non-compliance with pricing regulations,KEYWORD_NONCOMPLIANCE_PRICING,
Category 2f,Not captured by any other sub-category,KEYWORD_OTHER,
Category 3,Cyber violence,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Category 3a,Cyber bullying and intimidation,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Category 3b,Cyber harassment,KEYWORD_CYBER_HARASSMENT,
Category 3c,Cyber incitement to hatred or violence,KEYWORD_CYBER_INCITEMENT,
Category 3d,Cyber stalking,KEYWORD_CYBER_STALKING,
Category 3e,"Non-consensual (intimate) material sharing, including (image-based) sexual abuse (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Category 3f,Non-consensual sharing of material containing deepfake or similar technology using a third party's features (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,
Category 3g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 4,Cyber violence against women,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,
Category 4a,Cyber bullying and intimidation against girls,KEYWORD_BULLYING_AGAINST_GIRLS,
Category 4b,Cyber harassment against women,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
Category 4c,Cyber stalking against women,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,
Category 4d,Gendered disinformation,KEYWORD_FEMALE_GENDERED_DISINFORMATION,
Category 4e,Illegal incitement to violence and hatred against women,KEYWORD_INCITEMENT_AGAINST_WOMEN,
Category 4f,"Non-consensual (intimate) material sharing against women, including (image-based) sexual abuse against women (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,
