Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,3512,"This data includes all appeals submitted through our internal appeal mechanism regarding moderation decisions. The data captures appeals from both sides—users whose content was moderated, and reporters whose reports led to moderation decisions."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,1552,Number of appeals where the initial moderation decision was confirmed.
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,176,"Number of appeals where the restriction type was modified during the appeal.  We do not fully reverse the decision, as a restriction is still applied (e.g., changed from content removal to restricting visibility due to the sensitive nature)."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,889,"Number of appeals where we completely reversed our original decision (e.g., restricted content was restored, or accepted content was restricted)."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,7,"The reported data reflects the median time taken by Dailymotion's moderation team to process appeals, in hours. The median processing time is calculated as the time elapsed between the moment a user submits an appeal and the moment the moderation team takes its first action on that appeal."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,895,"We list here all appeals that did not result in a formal decision for two reasons: (1) the uploader removed the disputed content before the appeal could be processed, or (2) a technical glitch caused some appeals to become stuck in our moderation queue. We are actively implementing a fix. All affected appeals are being resubmitted to our moderation team for proper review and resolution."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,82,"This figure represents cases where an appeal led to a restrictive action being imposed, even though the initial moderation decision had allowed the content to remain without restrictions."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,862,"Appeals where the initial moderation decision restricted the video content (removal, disabling access, demonetization)."
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,727,Appeals where the initial moderation decision to restrict the video content was confirmed.
Only for providers of online platforms,DM,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,135,"Number of appeals where the restriction type was modified during the appeal.  We do not fully reverse the decision, as a restriction is still applied (e.g., changed from content removal to restricting visibility due to the sensitive nature)."
