Applicability,Service,Indicator,Value
All,Marketplace,Name of the service provider,Depop
All,Marketplace,Date of the publication of the report,2026-02-17 00:00:00
All,Marketplace,Date of the publication of the latest previous report,2026-02-17 00:00:00
All,Marketplace,Starting date of reporting period,2025-01-01 00:00:00
All,Marketplace,Ending date of reporting period,2025-12-31 00:00:00
,,,
,,,
Notes:,a) AMAR L6M: 283k,,
,"b) Depop’s internal content categories do not directly correspond to the categories used in statements of reasons under the Digital Services Act. For the purposes of this transparency report, categories have been grouped to provide a clear and proportionate overview of moderation activity, while ensuring consistency with Article 15 DSA reporting requirements.",,
,"c) Depop has only one Trusted Flagger, which has submitted zero notices or submissions.",,
,d) Median time is calculated in hours.,,
