Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,TOTAL,,10551,0,2099,0,7.93,0,2099,0,0,0,"User-facing reporting categories are designed to be clear and accessible for users and do not map directly one-to-one to Depop’s internal policy taxonomy. For the purposes of this report, reported notices have been mapped to the relevant European Commission categories based on the internal policy outcome applied during moderation.",0,"Each notice submitted via Depop’s reporting mechanisms relates to a single item of content. As a result, the number of specific items of information alleged to be illegal corresponds directly to the total number of notices received.",0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,710,0,79,0,3.5,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,428,0,73,0,2,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,"'Sexually explicit messages or comments'
'Sexually suggestive messages or comments'",0,0,6,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,"While Depop moderation covers these areas, it does not specify gender in reporting reasons or policy enforcement.",0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
