Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""","Number of notices received 
",Number of Items Moderated,Median Time to take action (reports) (in hour),Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,TOTAL,,94200,33436,24 hours,193,637,30.66 hr,,123,,"Notices oftentimes include multiple information links (e.g. 10 unique message links, all belonging to 1 Discord user/server). Enforcement is done on the entirety of the user/server.This explains the difference logic between total number of notices received and number of specific items of information included in the total number of notices. ","Median action times remain consistently within the 48–72 hour window. Given the diverse taxonomy of harm types and multi-identifier data sets, we utilize a tiered review structure involving specialized internal teams. "
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,6503,838,288,25,125,,,15,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,3626,762,106,5,17,,,3,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,
