Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,TOTAL,,5039,0,5039,0,38,0,0,0,0,0,"Flickr received 71,862 total user contacts during the reporting period. The 5,039 figure represents notices routed through Flickr's notice-and-action mechanism. The remaining contacts were general inquiries, T&C reports, and other user contacts not involving allegations of illegal content under Article 16.",,Each notice typically identifies a single reported account. Flickr's current systems do not capture whether a notice included additional items or accounts beyond the primary report.,,"Flickr's notice-handling and enforcement systems were historically operated independently, and the platform does not currently track resolution times at the level of granularity required by the DSA reporting template. As a result, Flickr is unable to correlate specific notices with corresponding enforcement actions or resolution times for this reporting period. Flickr is actively working to integrate these systems and implement resolution-time tracking to support more granular reporting in future periods.",,"Flickr's content moderation workflows processed notices and enforcement actions through separate operational systems. As a result, Flickr is unable to report a direct correlation between individual notices received and specific enforcement actions taken in response. These fields are reported as zero not because no action was taken on noticed content, but because the notice-to-action correlation cannot be established with Flickr's current infrastructure. Flickr is actively working to integrate these systems to enable more granular reporting in future transparency reports. The full scope of Flickr's enforcement activity, including actions that may have been prompted by notices, is captured in tabs 5 and 6.",,"Flickr's content moderation workflows processed notices and enforcement actions through separate operational systems. As a result, Flickr is unable to report a direct correlation between individual notices received and specific enforcement actions taken in response. These fields are reported as zero not because no action was taken on noticed content, but because the notice-to-action correlation cannot be established with Flickr's current infrastructure. Flickr is actively working to integrate these systems to enable more granular reporting in future transparency reports. The full scope of Flickr's enforcement activity, including actions that may have been prompted by notices, is captured in tabs 5 and 6.",
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,1136,0,1136,0,21,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,1136,0,1136,0,21,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,0,0,0,0,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Flickr,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,,,,,,,,,,,,,,
