Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,1136813,Includes approvals and rejections of user-generated content
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,1122540,Includes approvals and rejections of user-generated content
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.9956,
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,1136813,Includes approvals and rejections of user-generated content
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,1122540,Includes approvals and rejections of user-generated content
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,,
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,0.9956,
All,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,,
"Only for providers of hosting services, including online platforms",Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,0,
"Only for providers of hosting services, including online platforms",Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,3,
"Only for providers of hosting services, including online platforms",Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,n/a,
"Only for providers of hosting services, including online platforms",Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,n/a,
"Only for providers of hosting services, including online platforms",Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,n/a,
Only for providers of online platforms,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,,
Only for providers of online platforms,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,,
Only for providers of online platforms,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,
Only for providers of online platforms,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,
Only for providers of online platforms,Glassdoor,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,bg,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,[...],,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,sv,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,bg,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,[...],,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sv,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,,2024-01-01/2024-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
