Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,TOTAL,,13419107,2,13419107,2,11,0,145192,0,8454851,0,"While two accounts were flagged by trusted flaggers, the accounts in question were not found by internal teams. This is likely to the fact the users deleted their accounts or were already banned.",,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,17401,0,17401,0,29,0,0,0,16753,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,17401,0,17401,0,29,0,0,0,16753,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,399896,2,399896,2,54,0,0,0,261968,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,96295,1,96295,1,473,0,0,0,18180,0,,,,,"After additional staffing and operational changes, the median time in Q4 to take action dropped to 372 hours. Grindr continues to find means to reduce time to take action while recognizing that this category requires more substantive human-led investigation (inherently extending resolution times relative to more straightforward violations).",,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,206704,0,206704,0,7,0,0,0,203804,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,96801,1,96801,1,481,0,0,0,39984,0,,,,,Grindr is continuing to find means to reduce time to take action while recognizing that this category requires more substantive human-led investigation (inherently extending resolution times relative to more straightforward violations).,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,BLACKMAIL_AND_THREATS,96,0,96,0,,0,0,0,0,0,,,,,"These notices were still in pending status as of Dec 31 2025, no median time to action available",,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,3684,0,3684,0,216,0,3684,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,3684,0,3684,0,216,0,3684,0,0,0,"This figure reflects global privacy requests submitted through Grindr's Help Center. Geographic filtering is not currently available for this category, as requests are not linked to the user's location at the point of submission. Additionally, with requests to delete information, geographic information would be removed.",,,,"After additional staffing and operational changes, the median time in Q4 to take action dropped to 45 hours. Grindr continues to find means to reduce time to take action while recognizing that this category requires more substantive human-led investigation (inherently extending resolution times relative to more straightforward violations).",,,,,
