Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,841262,"Appeals data reflects global figures rather than EU-specific data. Geographic attribution is not currently captured with sufficient accuracy during the appeals and follow-up submission process to confidently isolate EU member state data, and Grindr is therefore reporting at a global level for this category. Grindr is exploring technical solutions to enable EU-level filtering for future reporting periods."
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,307159,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,0,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,92098,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,281,"After additional staffing and operational changes, the median time in Q4 to take action dropped to 46 hours. Grindr continues to find means to reduce time to handle appeals while recognizing that this category requires more substantive human-led investigation (inherently extending resolution times)."
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,377674,"Tickets are auto-closed after a period of user non-response, or manually closed by moderators due to duplicate appeals."
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,0,"Appeals on decisions to ban, suspend, or remove content are recorded as either upheld or reversed. Grindr does not currently have a process to track whether an appeal resulted in a subsequent additional moderation action being taken."
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,539,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,236,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,0,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,303,
Only for providers of online platforms,Grindr,2025-02-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,88,
