Applicability,Service,Reporting period,Indicator,Value
All,,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"During this reporting period, HomeToGo focused its content moderation efforts primarily on ensuring the accuracy of property listings and the safety of the marketplace. Our moderation actions are triggered by user notices submitted via our ""Report Illegal Content"" feature."
All,,2025-01-01/2025-12-32,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"When content is found to be illegal or in violation of our Terms & Conditions, we remove it without undue delay i.e. we take the affected listing offline."
All,,YYYY-MM-DD/YYYY-MM-DD,Qualitative description of the automated means,N/A (we do not use automate means)
All,,YYYY-MM-DD/YYYY-MM-DD,Qualitative description of indicators of accuracy and possible rate of error of automated means,N/A (we do not use automate means)
All,,YYYY-MM-DD/YYYY-MM-DD,Specification of the precise purposes to apply automated means,N/A (we do not use automate means)
All,,YYYY-MM-DD/YYYY-MM-DD,Safeguards applied to the use of automated means,N/A (we do not use automate means)
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,N/A
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,N/A
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,N/A
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,N/A
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation,N/A
