Applicability,Service,Reporting period,Indicator,Value
All,hosting,2025-02-17/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,Free text
All,hosting,2025-02-17/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,Free text
All,hosting,2025-02-17/2025-12-31,Qualitative description of the automated means,Free text
All,hosting,2025-02-17/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,Free text
All,hosting,2025-02-17/2025-12-31,Specification of the precise purposes to apply automated means,Free text
All,hosting,2025-02-17/2025-12-31,Safeguards applied to the use of automated means,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation,Free text
