Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction du compte - Suppression,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,JV,2025-01-01/2025-12-31,TOTAL,,27458,5043,32501,,,,,,,,,,,,1362,888,La colonne F indique le nombre de suppressions de contenus effectuées par notre équipe sans qu’un signalement préalable d’un utilisateur n’ait été effectué sur ledit contenu.,"Nous indiquons sur la colonne G les suppressions de contenus effectuées par nos moyens automatisés sans qu’un signalement préalable d’un utilisateur n’ait été effectué. Nos moyens automatisés se bornent à supprimer un contenu car il contient une chaine de caractères définie : typiquement, une URL vers une page pirate diffusant des matches de foot ou des animés.","Une action de modération sur un message, qu'il soit illégal ou contraire avec nos CGU, se traduit toujours par la suppression dudit message : il n'est plus visible sur le site.",,,,,,,,,,,,"En plus de la suppression de son message, un utilisateur peut voir son compte ""suspendu"". Cela se traduit par l'impossibilité de poster sur JV pendant un délai pouvant varier de 1 à 30 jours. L'utilisateur a néanmoins toujours accès au site en lecture seule. Pour l'informer de cette suspension, l'utilisateur reçoit un message privé ainsi qu'un lien permettant de faire appel de cette sanction.","En plus de la suppression de son message, un utilisateur peut voir son compte banni. Cela se traduit par l'impossibilité de poster sur JV de manière définitive. L'utilisateur a néanmoins toujours accès au site en lecture seule. Pour l'informer de son bannissement, l'utilisateur reçoit un message privé ainsi qu'un lien permettant de faire appel de cette sanction."
Tous,JV,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,JV,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
