Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Tous,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Nombre total,7361,Nombre total de réclamations reçues de la part des personnes sanctionnées ou des personnes qui notifient un message comme devant être supprimé. C'est donc le total des cellules G9 + G19 + G29 + G34.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions confirmées,3608,Nombre total de décisions maintenues malgré une réclamation. Total des cellules G10 + G20 + G30 + G35
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions partiellement infirmées,100,"Nombre total de décisions partiellement modifiées suite à une réclamation. Égal à la cellule G21 portant sur les modifications de durée de bannissement d'un compte. En effet, il ne peut pas concerner les cellules G11, G31 et G36 car ces cellules concernant les messages qui ne peuvent être que maintenus en ligne ou supprimés : il ne peut pas y avoir de demi-mesure sur JV concernant les messages."
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions infirmées,3653,Nombre total de décisions infirmés suite à une réclamation. Total des cellules G12 + G22 + G32 + G37
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Délai médian,3,Le délai indiqué est en heures.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions non prises,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de restrictions nouvellement imposées à la suite d’une réclamation soumise par l’intermédiaire du mécanisme interne,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Nombre total,1506,Nombre de réclamations de personnes souhaitant la restauration d'un message supprimé.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions confirmées,708,Décisions de laisser le message supprimé confirmé malgré la réclamation.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions partiellement infirmées,,"Non applicable car il ne peut y avoir de décision partielle : soit un message est supprimé, soit il est maintenu en ligne."
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions infirmées,798,Décisions de restaurer le message suite à la réclamation.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Délai médian,5,Le délai indiqué est en heures.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Nombre total,,"Non applicable car nous ne suspendons pas l'accès au service puisque le site reste lisible même en cas de sanction. En effet, les bannissements prononcés empêchent simplement l'utilisateur de poster des messages, mais n'empêchent pas l'accès au site en lecture."
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Nombre total,4397,Nombre de réclamations reçues suite au bannissement temporaire ou définitif d'un compte.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de supprimer un compte,Décisions confirmées,2220,Décisions de maintenir le bannissement en l'état confirmé malgré la réclamation.
