applicability,service,reporting_period,category_of_illegal_content,description_of_the_sub_category_other,number_of_notices_received,number_of_notices_received_from_trusted_flaggers,number_of_specific_items_of_information_included_in_the_total_number_of_notices,number_of_specific_items_of_information_included_in_the_total_number_of_notices_by_trusted_flaggers,median_time_to_take_action_hours,median_time_to_take_action_hours_trusted_flaggers_notices,number_of_actions_taken_on_the_basis_of_the_law,number_of_actions_taken_on_the_basis_of_the_law_trusted_flaggers_notices,number_of_actions_taken_on_the_basis_of_the_terms_and_conditions_of_the_service,number_of_actions_taken_on_the_basis_of_the_terms_and_conditions_of_the_service_trusted_flaggers_notices,Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,TOTAL,,4318,0,4318,0,42,0,67,0,4224,0,"The total volume of notices is precise, though the distribution across specific categories is approximate (mapped to the closest applicable categories based on best available data).",,,,,,,,Reported figures are approximate.,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,66,0,66,0,32,0,6,0,60,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,348,0,348,0,51,0,14,0,331,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,1241,0,1241,0,41,0,25,0,1206,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,28,0,28,0,20,0,5,0,22,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,11,0,11,0,48,0,0,0,11,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,"Other information-related notices, including geographic and language requirements",1659,0,1659,0,41,0,1,0,1656,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,1,0,1,0,31,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING,,1,0,1,0,15,0,0,0,1,0,,,,,,,,,,
