applicability,service,reporting_period,section,indicator,scope,value,contextual information
All,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,1492,Reported totals are estimates based on best available data.
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,265,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,45,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,864,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,31,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,0,Our systems only support binary outcomes (fully upheld or fully reversed).
