applicability,service,reporting_period,section,indicator,scope,value,contextual information
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,1950298,
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,109327,
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,N/A,"Important to note we don't have automations for notices/other data categories (only own-initiative data categories), so no total/aggregate markers apply. See below own-initiative data."
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,N/A,"Important to note we don't have automations for notices/other data categories (only own-initiative data categories), so no total/aggregate markers apply. See below own-initiative data."
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,N/A,"Important to note we don't have automations for notices/other data categories (only own-initiative data categories), so no total/aggregate markers apply. See below own-initiative data."
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Own-initiative ,1950298,
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative ,109260,
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,98,Fully automated tools - no human in the loop - See qualitative tab 
All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,94,Fully automated tools - no human in the loop - See qualitative tab 

All,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,87,Fully automated tools - no human in the loop - See qualitative tab 

"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,0,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,4318,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,N/A,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,N/A,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,N/A,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,N/A,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,N/A,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,bg,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,[...],N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,sv,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,bg,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,[...],N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sv,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],N/A,
Only for VLOPs,justeattakeaway.com,2025-02-17/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,N/A,
