Intitulé de la catégorie,Description de la catégorie,Catégorie de contenu illicite / incompatible avec les conditions générales,Informations contextuelles
TOTAL,Toutes les rubriques,TOTAL,
Catégorie 1,Bien‑être animal,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Catégorie 1a,Maltraitance animale,KEYWORD_ANIMAL_HARM,
Catégorie 1b,Vente illégale d’animaux,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Catégorie 1c,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 2,Infractions en matière d’information des consommateurs,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Catégorie 2a,"Publicité cachée ou communication commerciale, y compris de la part d’influenceurs",KEYWORD_HIDDEN_ADVERTISEMENT,
Catégorie 2b,Informations insuffisantes sur les professionnels,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Catégorie 2c,Informations trompeuses sur les caractéristiques des biens et des services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Catégorie 2d,Informations trompeuses sur les droits du consommateur,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Catégorie 2e,Non-respect de la réglementation en matière de détermination des prix,KEYWORD_NONCOMPLIANCE_PRICING,
Catégorie 2f,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 3,Cyberviolence,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Catégorie 3a,Brimades et intimidation en ligne,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Catégorie 3b,Cyberharcèlement,KEYWORD_CYBER_HARASSMENT,
Catégorie 3c,Incitation à la violence ou à la haine en ligne,KEYWORD_CYBER_INCITEMENT,
Catégorie 3d,Traque furtive (stalking) en ligne,KEYWORD_CYBER_STALKING,
Catégorie 3e,"Partage non consenti de matériel (à caractère intime), y compris (d’images) d’abus sexuels (à l’exclusion des contenus représentant des mineurs)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Catégorie 3f,Partage non consenti de matériel créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d’un tiers (à l’exclusion des contenus représentant des mineurs),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,
Catégorie 3g,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 4,Cyberviolence à l’égard des femmes,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,
Catégorie 4a,Brimades et intimidation en ligne exercées sur les filles,KEYWORD_BULLYING_AGAINST_GIRLS,
Catégorie 4b,Cyberharcèlement à l’égard des femmes,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
Catégorie 4c,Traque furtive (stalking) en ligne affectant les femmes,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,
Catégorie 4d,Désinformation fondée sur le genre,KEYWORD_FEMALE_GENDERED_DISINFORMATION,
Catégorie 4e,Incitation illicite à la violence et à la haine à l’égard des femmes,KEYWORD_INCITEMENT_AGAINST_WOMEN,
Catégorie 4f,"Partage non consenti de matériel (à caractère intime) affectant les femmes, y compris (d’images) d’abus sexuels à l’encontre des femmes (à l’exclusion des contenus représentant des mineurs)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,
Catégorie 4g,Partage non consenti de matériel créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d’un tiers affectant les femmes (à l’exclusion des contenus représentant des mineurs),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,
Catégorie 4h,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 5,Protection des données et violations de la vie privée,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,
Catégorie 5a,Violation de données biométriques,KEYWORD_BIOMETRIC_DATA_BREACH,
Catégorie 5b,Falsification de données,KEYWORD_DATA_FALSIFICATION,
Catégorie 5c,Absence de motif de traitement des données,KEYWORD_MISSING_PROCESSING_GROUND,
Catégorie 5d,Droit à l’oubli numérique,KEYWORD_RIGHT_TO_BE_FORGOTTEN,
Catégorie 5e,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 6,Discours illégal ou préjudiciable,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,
Catégorie 6a,Diffamation,KEYWORD_DEFAMATION,
Catégorie 6b,Discrimination,KEYWORD_DISCRIMINATION,
Catégorie 6c,Incitation illicite à la violence et à la haine fondées sur des caractéristiques protégées (discours haineux),KEYWORD_HATE_SPEECH,
Catégorie 6d,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 7,Atteintes à la propriété intellectuelle,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,
Catégorie 7a,Atteintes aux droits d’auteur,KEYWORD_COPYRIGHT_INFRINGEMENT,
Catégorie 7b,Contrefaçons de dessins ou modèles,KEYWORD_DESIGN_INFRINGEMENT,
Catégorie 7c,Atteintes aux indications géographiques,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Catégorie 7d,Atteintes aux brevets,KEYWORD_PATENT_INFRINGEMENT,
Catégorie 7e,Violation des secrets commerciaux,KEYWORD_TRADE_SECRET_INFRINGEMENT,
