Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Champ d’application,Nombre d’injonctions d’agir contre des contenus illicites reçues,Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Nombre d’injonctions de fournir des informations,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Délai médian nécessaire pour donner suite à l’injonction de fournir des informations,Informations contextuelles sur Nombre d’injonctions d’agir contre des contenus illicites reçues,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Nombre d’injonctions de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction de fournir des informations
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,TOTAL,,TOTAL,5,540,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ANIMAL_HARM,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_HARASSMENT,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_INCITEMENT,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_STALKING,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,,,,,,,,,,,,,,
