Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,TOTAL,,,594,,,,,,,,,,Le signaleur de confiance ne donne pas accès aux contenus à déférencer. Ce sont des listes ajoutées automatiquement sur le Service. Nous avons donc comptabilisé le nombre de notifcations reçues relatives aux déréférencement deouis le 1er septembre 2025. Nous ne pouvons cependant pas comptabiliser le nombre d'éléments inclus dans la demande de notifcation. Il en va de même pour la catégorie de contenu illicite à laquelle nous n'avons pas accès.,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,,,,,,,,,,
