Applicability,Service,Reporting period,Category of illegal content,Description of Other,Number of notices received,Number of notices received from Trusted flaggers,Number of items moderated,Number of items moderated (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flaggers notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flaggers notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flaggers notices)
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,TOTAL,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ANIMAL_HARM,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
