Applicability,Service,Reporting period,Indicator,Value
All,LINE Messenger,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"LY Corporation conducts content moderation for violations of the terms and conditions on LINE Messenger, specifically addressing the following seven activities: NG Commerce, Spamming, Obscenity, Incitement to illegal activities, Child Porn, Dating Purpose, and Abuse."
All,LINE Messenger,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding the applied detection method,"LY Corporation engages in content moderation for actions violating the terms and conditions conducted through LINE Messenger. Specifically, these violations are identified by a dedicated team that monitors and patrols 24/7. The moderation process is carried out by a team trained in the service's guidelines and response protocols."
All,LINE Messenger,2025-01-01/2025-12-31,Updates to the terms and conditions,N/A
All,LINE Messenger,2025-01-01/2025-12-31,Measures taken to provide training and assistance to persons in charge of content moderation,N/A
All,LINE Messenger,2025-01-01/2025-12-31,Summary of the use made of automated means for the purpose of content moderation,N/A
All,LINE Messenger,2025-01-01/2025-12-31,Qualitative description of the automated means,N/A
All,LINE Messenger,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,N/A
All,LINE Messenger,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,N/A
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,Summary of the content moderation governance structure,Free text
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
