Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual information
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of internal moderators employed by the provider,Total number,1403,"Sheet 9 reports information regarding the number of content moderators employed or contracted by LinkedIn, separated by number of internal moderators employed, number of external moderators contracted, and total number of moderators (internal or external) with linguistic expertise in the official languages of the EU. Linguistic expertise is defined as CEFR-B2 language expertise or above.Content review is conducted via LinkedIn’s custom-built internal review tool, which has built-in translation technology to assist reviewers. For situations where a content moderator lacks language proficiency and LinkedIn’s machine translation tools are insufficient for a review, moderators are able to consult with their team lead and use translation services to complete the review."
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of external moderators contracted by the provider,Total number,57,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,Total number,1460,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,bg,1,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Bulgarian is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,cs,0,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,da,0,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,de,15,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,el,0,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,en,1460,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,es,32,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,et,0,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Estonian is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,fi,1,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,fr,19,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ga,0,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Irish is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,hr,4,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Croatian is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,hu,0,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,it,12,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,lt,2,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Lithuanian is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,lv,0,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Latvian is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,mt,0,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Maltese is not a supported language. 
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,nl,7,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,pl,9,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,pt,30,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,ro,0,
Only for VLOPs,LinkedIn,2025-07-01/2025-12-31,Human resources dedicated to content moderation ,Number of total moderators with sufficient linguistic expertise ,sk,0,LinkedIn’s website is currently available in and supports 15 of the 24 official languages of the EU (https://www.linkedin.com/help/linkedin/answer/a522175). Slovak is not a supported language. 
