Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,TOTAL,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,,,,,These category is counted KEYWORD_PROHIBITED_PRODUCTS,These category is counted KEYWORD_PROHIBITED_PRODUCTS,These category is counted KEYWORD_PROHIBITED_PRODUCTS,These category is counted KEYWORD_PROHIBITED_PRODUCTS,These category is counted KEYWORD_PROHIBITED_PRODUCTS,These category is counted KEYWORD_PROHIBITED_PRODUCTS,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,8694,0,0,0,2.25 days,0,,,,,In this category we count customer notices we received we conducted keywords search on our customer services tools,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,13,0,0,0,3 days,0,,,,,The number of complaint regarding regarding hidden advertisement is low because we are a marketplace therefore we do advertisement,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,219,0,0,0,0.6 days,0,,,,,Our sellers have to indicate informations known as KYB (know your business) under their own responsibility. However we have received 219 client complaints regarding these informations,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,7802,0,0,0,2.4 days,0,,,,,"Products description are uploaded by sellers under their own responsibility, we have received 7802 clients complaints regarding the informations provided by sellers on their products",n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,564,0,0,0,2.3 days,0,,,,,Our customer services have handled 564 clients requests concerning non respect of consumer rights by sellers,n/a,n/a,n/a,n/a,n/a,,,,
