Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,66877,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,52399,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,14478,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,20,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,0,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,,"Due to system limitations, the brand is not able to associate appeals or internal complaints with additional restrictions imposed after those reviews."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,9886,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,7466,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,2420,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,25,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Total number,56991,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions upheld,44933,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions partially reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions reversed,12058,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Median time,19,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions partially reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions reversed,0,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Median time,,The brand does not apply this restriction or remediation.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
