Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,1536656,"Interpreting ""solely taken by automated means"" as ""decision enacted by automated system"" due to systematic limitation on pulling detection method for each remediation. For the same reason, ""Total Number"" and ""Own-initiative"" volumes will be the same throughtout the section."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,1086123,"Interpreting ""solely taken by automated means"" as ""decision enacted by automated system"" due to systematic limitation on pulling detection method for each remediation. For the same reason, ""Total Number"" and ""Own-initiative"" volumes will be the same throughtout the section."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of accuracy at this time."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.0018800564342312,"Precision is calculated as the number of remediations (bans, suspensions, or content removals) where the bad actor submitted an appeal and the appeal was accepted, divided by the total number of remediations applied. Value will be blank if there are no appeals accepted for the service and reporting period"
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of recall at this time."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,1536656,"Interpreting ""solely taken by automated means"" as ""decision enacted by automated system"" due to systematic limitation on pulling detection method for each remediation. For the same reason, ""Total Number"" and ""Own-initiative"" volumes will be the same throughtout the section."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,1086123,"Interpreting ""solely taken by automated means"" as ""decision enacted by automated system"" due to systematic limitation on pulling detection method for each remediation. For the same reason, ""Total Number"" and ""Own-initiative"" volumes will be the same throughtout the section."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of accuracy at this time."
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,0.0018800564342312,"Precision is calculated as the number of remediations (bans, suspensions, or content removals) where the bad actor submitted an appeal and the appeal was accepted, divided by the total number of remediations applied. Value will be blank if there are no appeals accepted for the service and reporting period"
All,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of recall at this time."
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,0,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,896,
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of accuracy at this time."
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of precision at this time."
"Only for providers of hosting services, including online platforms",Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of recall at this time."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of accuracy at this time."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of precision at this time."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,"Due to measurement processes that have not yet been fully adopted, the brand is not able to provide a direct measure of recall at this time."
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,bg,,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,[...],,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,sv,,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,bg,,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,[...],,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sv,,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,Tinder,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
