Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Pokémon GO,2025-01-01/2025-12-31,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Total number,27351,"Niantic has in place reporting tools for people using our products and services, enabling them to flag issues to Niantic so our teams can investigate and address concerns. Any user can report content for potentially violating our Player Guidelines using the in-app product feature, the in-app Help Center, or on the Pokémon GO Help Center on the Pokémon Go website. The user who reports the content will receive a notice that the content is being reviewed. If reviewers decide that the content is either illegal or policy violating and the content is removed from Pokémon GO, the user whose content was reviewed receives a notification within the Pokémon GO application. The notification contains information including a snapshot of the removed content, the policy that the content violated, and the ability to appeal for the content to be restored.
 
In accordance with Article 20 DSA, Niantic offers users the option to appeal the decisions and corresponding enforcement (including account-level enforcement) related to content we have determined to be violating by requesting another review. Appeal requests for content-level moderation can be submitted via the Pokémon GO app. Reviewers will then decide whether the initial decision needs to be overturned. Appeal requests for account-level appeals can be submitted via a web form on our Help Center. When Niantic review teams receive an appeal request, we inform the user who posted the original content that we have received the appeal and re-review accordingly.

As described in our Player Guidelines, a violation of Niantic’s policies can result in a warning, a suspension, or a termination of a user’s account. The level of enforcement that applies to the account varies based on the severity of the violation. Article 23(1) DSA requires suspension of the service for a reasonable period of time after having issued a prior warning for those who frequently provide manifestly illegal content. 

Within the reporting period, Niantic made 1 suspension to accounts who frequently provide manifestly illegal content for Pokémon GO. 

Pursuant to Article 23(2) DSA, Niantic will suspend for a reasonable period of time, after having issued a prior warning, the processing of notices and complaints submitted through the notice and action mechanisms and internal complaints-handling systems required by Articles 16 and 20 DSA, from individuals or entities or from complainants that frequently submit notices or complaints that are manifestly unfounded. 

Within the reporting period, we have made 0 suspensions with respect to Article 23(2) DSA."
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions upheld,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions partially reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decisions reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Median time,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Number of complaints submitted to the internal-complaints mechanism,Decision omitted,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Number of restrictions newly imposed as a result of an internal complaint,Total number,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Total number,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions upheld,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions partially reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Decisions reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to remove or disable access to or restrict visibility of information,Median time,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Total number,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions upheld,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions partially reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Total number,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions upheld,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions partially reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Decisions reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account,Median time,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions partially reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Median time,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,,
Only for providers of online platforms,,YYYY-MM-DD/YYYY-MM-DD,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,,
