Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,TOTAL,,"7,618",27,"8,011",378,9.95,2.88,78,0,"1,284",362,"This includes the total number of notices received during the reporting period through our European Union Illegal Content Reporting Form.

Please note the total number of notices received does not equal the total numbers outlined in the rows below. This is because one notice can contain multiple items with separate reporting reasons per item. When one notice includes multiple reporting reasons, we count them separately.","This is the total number of notices received from Trusted Flaggers during the reporting period.

Please note the total number of notices received does not equal the total numbers outlined in the rows below. This is because one notice can contain multiple items with separate reporting reasons per item. When one notice includes multiple reporting reasons, we count them separately.",This is the total number of specific items of information that were included in the total number of notices received.,This is the total number of specific items of information that were included in the total number of notices received from Trusted Flaggers.,"The median time to take action is calculated based on the time the notice was received until the time the notice was addressed. This includes notices that Pinterest took no action on after determining no violation was found and the content was not illegal.

The median time is indicated in hours.","The median time to take action is calculated based on the time the notice was received until the time the notice was addressed. This includes notices that Pinterest took no action on after determining no violation was found and the content was not illegal.

The median time is indicated in hours.","This is the total number of actions that were taken following receipt of a notice, that were based on the illegality of the content. ","This is the total number of actions that were taken following receipt of a notice from a Trusted Flagger, that were based on the illegality of the content. ","This is the total number of actions that were taken following receipt of notice, that were based on the incompatibility of the information with Pinterest’s Terms of Service. ","This is the total number of actions that were taken following receipt of notice from a Trusted Flagger, that were based on the incompatibility of the information with Pinterest’s Terms of Service. "
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,
