Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Pinterest,2025-07-01/2025-12-31,TOTAL,,"184,341,552","183,242,050","85,210,541","668,523","96,273,719","142,686",,,"2,522",,,,,,325,"2,043,236",This is the number of measures that have been taken at Pinterest's own initiative for violations of our Terms of Service. Own initiative means that the decision to impose a restriction on an account or content has not been preceded by an order from a Member State authority or a notice submitted through our European Union Illegal Content Reporting Form.,"This is the number of measures that were taken at Pinterest's own initiative using automated means. More information about our automated means can be found in the ""qualitative description of the automated means"" section on 11_qualitative tab.","This restriction type includes deactivated boards, Pins and comments. When we deactivate content, that content is no longer available to anyone on the platform. Deactivation may also be referred to as “removal.”","This restriction type includes domain blocks, music mutes and ad rejections.Domain blocks: We may block domains (links) that lead to content or are associated with content that may violate our policies.Music mutes: Pinterest works with a third-party partner to proactively and automatically identify audio that matches a file provided by a copyright holder to the third-party partner. When our third-party partner matches the digital signature of an audio file on Pinterest with a file in their library, the audio on the Pin is muted automatically. Ad rejections: When an ad is rejected, it will not be shown to users. We may reject an ad before ever showing it to anyone, or after the campaign has already begun to run - for example, in response to a report from a user who saw the ad.","This restriction type includes limited distribution of Pins, boards, accounts and comments. It also includes advertiser offboardings, merchant rejections and catalogue restrictions.Limiting distribution: When we limit the distribution of content, that content will continue to be accessible to the user who posted it, but it won’t be distributed through recommendation or discovery surfaces such as Pinterest search results or home feed.Advertiser offboarding: When we offboard an advertiser, they no longer have access to Pinterest’s advertising tools. This doesn’t affect their ability to use other, non-advertising Pinterest products.Catalogue restrictions: When we prevent the distribution of catalogues, they cannot be used in ads. When we limit the distribution of catalogues, they can only be allowed in ads if they comply with our Advertising Guidelines.","This restriction type includes ads limited approval solely or partially based on age.Limited approval: Limited approval means that an ad may run, but with restrictions - for example, it may only be shown to people over a certain age.",We have not mapped any enforcement types to this restriction category.,We have not mapped any enforcement types to this restriction category.,"This restriction type includes content and accounts that have been blocked in territory or provided limited approval. This also includes ads with limited approval based on any reason other than age.Blocked in territory: We may restrict access to content within a relevant territory if it is determined to violate local law but does not violate our policies. The blocked in territory actions reported in this tab are limited to restrictions applied to content or accounts of users located in the EU, where the enforcement action was taken based on a violation of law outside the EU and its Member States.Limited approval: Limited approval means that an ad may run, but with restrictions - for example, it may only be shown to people in certain regions.",We have not mapped any enforcement types to this restriction category.,We have not mapped any enforcement types to this restriction category.,We have not mapped any enforcement types to this restriction category.,We have not mapped any enforcement types to this restriction category.,We have not mapped any enforcement types to this restriction category.,"This restriction type includes restrictions for copyright violations. When a user has received multiple complaints about certain copyright violations, we restrict the ability for the user to post and save content for 14 days so that they can audit their account and remove any further instances of infringement. This temporary restriction is applied manually and automatically lifts after the 14 day period; it acts as a final warning after which any further unrefuted claims of infringement on their account will result in account termination. This restriction type also includes suspensions applied as a result of the  provision of manifestly unfounded complaints and notices.","This restriction type includes account deactivations.Any account, regardless of privacy settings, may be deactivated for violating our policies. When an account is deactivated, all of its Pins and boards are also deactivated. That means that if you search for them on Pinterest or click on an old link to their profile, that profile won’t show up anymore. Their Pins won’t appear anywhere on Pinterest. And the deactivated user won’t be able to access their own Pins or boards, either.This restriction type also covers account deactivations imposed where a user frequently provides manifestly illegal content or repeatedly violates our policies."
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"480,443","479,914",132,29,"480,282",0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_ANIMAL_HARM,,"480,284","479,774",0,5,"480,279",0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,159,140,132,24,3,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"23,084","2,929",0,"23,003",0,81,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,"5,665",638,0,"5,584",0,81,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,"17,419","2,291",0,"17,419",0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations of our Advertising and Merchant Guidelines related to incomplete registrations and those specific to return timelines. Additionally, it includes violations of our Unacceptable Business Practices guidelines related to the promotion of certain products, services or business models that are prohibited.",0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"2,786,704","2,772,069","607,069",0,"2,179,548",0,,,0,,,,,,0,87,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"4,825","4,810","4,173",0,652,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,"2,742,659","2,728,155","593,898",0,"2,148,674",0,,,0,,,,,,0,87,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,"39,220","39,104","8,998",0,"30,222",0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
