Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
TOTAL,All the entries,TOTAL,Roblox updated its Community Standards in 2026. References below are to our Community Standards applicable for the Reporting Period.
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,"We do not allow the depiction of extreme violence against living beings, including animals. Content depicting animal cruelty or torture is strictly prohibited and enforced under our Violent Content and Gore Community Standard. We do not currently have a method of providing data by reference to this specific category."
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Category 1c,Not captured by any other sub-category,KEYWORD_OTHER,
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,"This category primarily captures violations of our Advertising standard. Roblox requires that all advertising be clearly disclosed and compliant with applicable laws. We do not currently have a method of providing data by reference to the specific sub-categories mentioned below with the exception of “Hidden advertisement or commercial communication, including by influencers.”"
Category 2a,"Hidden advertisement or commercial communication, including by influencers",KEYWORD_HIDDEN_ADVERTISEMENT,Roblox’s Advertising Community Standard requires that all advertising content be clearly and conspicuously disclosed to users. Content that conceals its commercial nature violates this standard.
Category 2b,Insufficient information on traders,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Category 2c,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Category 2d,Misleading information about the consumer’s rights,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Category 2e,Non-compliance with pricing regulations,KEYWORD_NONCOMPLIANCE_PRICING,
Category 2f,Not captured by any other sub-category,KEYWORD_OTHER,
Category 3,Cyber violence,STATEMENT_CATEGORY_CYBER_VIOLENCE,"Roblox enforces this category under our Threats, Bullying, and Harassment Community Standard. We prohibit content or behavior that is intended to harass, intimidate, or threaten others. We do not currently have a method of providing data by reference to the specific sub-categories mentioned below with the exception of “Cyber bullying and intimidation” and “Cyber harassment”."
Category 3a,Cyber bullying and intimidation,KEYWORD_CYBER_BULLYING_INTIMIDATION,"Enforced under the Threats, Bullying, and Harassment Community Standard. This includes targeted abuse, intimidation, and behavior intended to disturb or upset others."
Category 3b,Cyber harassment,KEYWORD_CYBER_HARASSMENT,"Enforced under the Threats, Bullying, and Harassment Standard. This covers sustained or repetitive attempts to contact or abuse a user against their wishes."
Category 3c,Cyber incitement to hatred or violence,KEYWORD_CYBER_INCITEMENT,
Category 3d,Cyber stalking,KEYWORD_CYBER_STALKING,
Category 3e,"Non-consensual (intimate) material sharing, including (image-based) sexual abuse (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Category 3f,Non-consensual sharing of material containing deepfake or similar technology using a third party's features (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,
Category 3g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 4,Cyber violence against women,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,"While Roblox policies apply equally to all users regardless of gender, violations targeting women are enforced under Threats, Bullying, and Harassment and Discrimination, Slurs, and Hate Speech. We do not currently have a method of providing data by reference to this specific category."
Category 4a,Cyber bullying and intimidation against girls,KEYWORD_BULLYING_AGAINST_GIRLS,
Category 4b,Cyber harassment against women,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
