Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Roblox Corporation,2025-01-01/2025-12-31,TOTAL,,2563531,2563531,1964283,,,,,,,,,,0,0,420315,178933,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,112,83,83,,,,,,,,,,0,0,29,0,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,112,83,83,,,,,,,,,,0,0,29,0,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,12761,10942,10942,,,,,,,,,,0,0,1817,2,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,62,39,39,,,,,,,,,,0,0,23,0,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,12699,10903,10903,,,,,,,,,,0,0,1794,2,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,659420,628869,628869,,,,,,,,,,0,0,29496,1055,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,Sharing Personal Information,659420,628869,628869,,,,,,,,,,0,0,29496,1055,"Roblox takes steps to prevent users from disclosing or requesting personal information on Roblox (outside of Trusted Connections, designed for users they know and trust). This includes real names, home addresses, phone numbers, passwords, and financial or medical information.",,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,217500,157493,157493,,,,,,,,,,0,0,59886,121,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,217495,157490,157490,,,,,,,,,,0,0,59884,121,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,Harmful Off-Platform Speech or Behavior,1,1,1,,,,,,,,,,0,0,0,0,"Roblox may take action against users for behavior that occurs outside of the platform if it poses a high risk to the community. This includes predatory behavior, recruitment to illegal or extremist organizations, and credible threats of real-world violence.",,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,Threats of Violence,4,2,2,,,,,,,,,,0,0,2,0,"Roblox prohibits threats of physical harm in the real world. This includes direct or indirect threats against individuals, groups of people, or specific locations, as well as the glorification of violent acts.",,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,8241,7124,7124,,,,,,,,,,0,0,912,205,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,8241,7124,7124,,,,,,,,,,0,0,912,205,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
All,Roblox Corporation,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
