Ετικέτα κατηγορίας,Περιγραφή κατηγορίας,Κατηγορία παράνομου περιεχομένου / ασύμβατου με τους όρους και τις προϋποθέσεις,Συγκειμενικές πληροφορίες
ΣΥΝΟΛΟ,Όλες οι εγγραφές,TOTAL,
Κατηγορία 1,Καλή μεταχείριση των ζώων,STATEMENT_CATEGORY_ANIMAL_WELFARE,
Κατηγορία 1α,Κακοποίηση ζώων,KEYWORD_ANIMAL_HARM,
Κατηγορία 1β,Παράνομη πώληση ζώων,KEYWORD_UNLAWFUL_SALE_ANIMALS,
Κατηγορία 1γ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 2,Παραβάσεις όσον αφορά την ενημέρωση των καταναλωτών,STATEMENT_CATEGORY_CONSUMER_INFORMATION,
Κατηγορία 2α,"Κρυφή διαφήμιση ή εμπορική επικοινωνία, μεταξύ άλλων από επηρεαστές γνώμης",KEYWORD_HIDDEN_ADVERTISEMENT,
Κατηγορία 2β,Ανεπαρκείς πληροφορίες σχετικά με τους εμπόρους,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,
Κατηγορία 2γ,Παραπλανητικές πληροφορίες σχετικά με τα χαρακτηριστικά των αγαθών και των υπηρεσιών,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,
Κατηγορία 2δ,Παραπλανητικές πληροφορίες σχετικά με τα δικαιώματα των καταναλωτών,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,
Κατηγορία 2ε,Μη συμμόρφωση με τους κανονισμούς τιμολόγησης,KEYWORD_NONCOMPLIANCE_PRICING,
Κατηγορία 2στ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 3,Κυβερνοβία,STATEMENT_CATEGORY_CYBER_VIOLENCE,
Κατηγορία 3α,Κυβερνοεκφοβισμός,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Κατηγορία 3β,Κυβερνοπαρενόχληση,KEYWORD_CYBER_HARASSMENT,
Κατηγορία 3γ,Κυβερνοϋποκίνηση βίας ή μίσους,KEYWORD_CYBER_INCITEMENT,
Κατηγορία 3δ,Παρενοχλητική κυβερνοπαρακολούθηση,KEYWORD_CYBER_STALKING,
Κατηγορία 3ε,"Μη συναινετική κοινοχρησία υλικού (προσωπικής φύσης), συμπεριλαμβανομένης της σεξουαλικής κακοποίησης (με χρήση εικόνων) (εξαιρουμένου του περιεχομένου που απεικονίζει ανηλίκους)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,
Κατηγορία 3στ,Μη συναινετική κοινοχρησία υλικού που περιέχει βαθυπαραποίηση ή παρόμοια τεχνολογία με τη χρήση χαρακτηριστικών τρίτου (εξαιρουμένου του περιεχομένου που απεικονίζει ανηλίκους),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,
Κατηγορία 3ζ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 4,Κυβερνοβία κατά των γυναικών,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,
Κατηγορία 4α,Κυβερνοεκφοβισμός κοριτσιών,KEYWORD_BULLYING_AGAINST_GIRLS,
Κατηγορία 4β,Κυβερνοπαρενόχληση γυναικών,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
Κατηγορία 4γ,Παρενοχλητική κυβερνοπαρακολούθηση γυναικών,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,
Κατηγορία 4δ,Έμφυλη παραπληροφόρηση,KEYWORD_FEMALE_GENDERED_DISINFORMATION,
Κατηγορία 4ε,Παράνομη υποκίνηση βίας και μίσους κατά των γυναικών,KEYWORD_INCITEMENT_AGAINST_WOMEN,
Κατηγορία 4στ,"Μη συναινετική κοινοχρησία υλικού (προσωπικής φύσης) σε βάρος των γυναικών, συμπεριλαμβανομένης της σεξουαλικής κακοποίησης (με χρήση εικόνων) (εξαιρουμένου του περιεχομένου που απεικονίζει ανηλίκους)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,
Κατηγορία 4ζ,Μη συναινετική κοινοχρησία υλικού που περιέχει βαθυπαραποίηση ή παρόμοια τεχνολογία με τη χρήση χαρακτηριστικών τρίτου σε βάρος των γυναικών (εξαιρουμένου του περιεχομένου που απεικονίζει ανηλίκους),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,
Κατηγορία 4η,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 5,Προστασία δεδομένων και παραβιάσεις της ιδιωτικότητας,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,
Κατηγορία 5α,Παραβίαση βιομετρικών δεδομένων,KEYWORD_BIOMETRIC_DATA_BREACH,
Κατηγορία 5β,Παραποίηση δεδομένων,KEYWORD_DATA_FALSIFICATION,
Κατηγορία 5γ,Απουσία αιτιολόγησης για την επεξεργασία δεδομένων,KEYWORD_MISSING_PROCESSING_GROUND,
Κατηγορία 5δ,Δικαίωμα στη λήθη,KEYWORD_RIGHT_TO_BE_FORGOTTEN,
Κατηγορία 5ε,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 6,Παράνομη ρητορική ή ρητορική που αποσκοπεί σε βλάβη,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,
Κατηγορία 6α,Δυσφήμιση,KEYWORD_DEFAMATION,
Κατηγορία 6β,Δυσμενής διάκριση,KEYWORD_DISCRIMINATION,
Κατηγορία 6γ,Παράνομη υποκίνηση βίας και μίσους βάσει προστατευόμενων χαρακτηριστικών (ρητορική μίσους),KEYWORD_HATE_SPEECH,
Κατηγορία 6δ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 7,Παραβιάσεις της διανοητικής ιδιοκτησίας,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,
Κατηγορία 7α,Παραβιάσεις δικαιωμάτων πνευματικής ιδιοκτησίας,KEYWORD_COPYRIGHT_INFRINGEMENT,
Κατηγορία 7β,Παραβιάσεις σχεδιασμού,KEYWORD_DESIGN_INFRINGEMENT,
Κατηγορία 7γ,Παραβιάσεις γεωγραφικών ενδείξεων,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Κατηγορία 7δ,Παραβιάσεις διπλωμάτων ευρεσιτεχνίας,KEYWORD_PATENT_INFRINGEMENT,
Κατηγορία 7ε,Παραβιάσεις του εμπορικού απορρήτου,KEYWORD_TRADE_SECRET_INFRINGEMENT,
Κατηγορία 7στ,Παραβιάσεις εμπορικών σημάτων,KEYWORD_TRADEMARK_INFRINGEMENT,
Κατηγορία 7ζ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 8,Αρνητικές επιπτώσεις στον πολιτικό διάλογο ή στις εκλογές,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,
Κατηγορία 8α,Παραπληροφόρηση και χειραγώγηση των πληροφοριών και των παρεμβάσεων από το εξωτερικό,KEYWORD_MISINFORMATION_DISINFORMATION,
Κατηγορία 8β,Παραβίαση του δικαίου της ΕΕ σε σχέση με τον πολιτικό διάλογο ή τις εκλογές,KEYWORD_VIOLATION_EU_LAW,
Κατηγορία 8γ,Παραβίαση του εθνικού δικαίου σε σχέση με τον πολιτικό διάλογο ή τις εκλογές,KEYWORD_VIOLATION_NATIONAL_LAW,
Κατηγορία 8δ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 9,Προστασία των ανηλίκων,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,
Κατηγορία 9α,Ειδικοί ηλικιακοί περιορισμοί που αφορούν τους ανηλίκους,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,
Κατηγορία 9β,Υλικό σεξουαλικής κακοποίησης παιδιών,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,
Κατηγορία 9γ,Υλικό σεξουαλικής κακοποίησης παιδιών που περιέχει βαθυπαραποίηση ή παρόμοια τεχνολογία,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,
Κατηγορία 9δ,Προσεταιρισμός (grooming) / αποπλάνηση ανηλίκων,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,
Κατηγορία 9ε,Μη ασφαλείς προκλήσεις,KEYWORD_UNSAFE_CHALLENGES,
Κατηγορία 9στ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 10,Κίνδυνος για τη δημόσια ασφάλεια,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,
Κατηγορία 10α,Παράνομες οργανώσεις,KEYWORD_ILLEGAL_ORGANIZATIONS,
Κατηγορία 10β,Κίνδυνος περιβαλλοντικής ζημίας,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,
Κατηγορία 10γ,Κίνδυνος για τη δημόσια υγεία,KEYWORD_RISK_PUBLIC_HEALTH,
Κατηγορία 10δ,Τρομοκρατικό περιεχόμενο,KEYWORD_TERRORIST_CONTENT,
Κατηγορία 10ε,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 11,Εξαπάτηση και/ή απάτη,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,
Κατηγορία 11α,Πλαστοπροσωπία ή υποκλοπή λογαριασμού,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,
Κατηγορία 11β,Μη αυθεντικοί λογαριασμοί,KEYWORD_INAUTHENTIC_ACCOUNTS,
Κατηγορία 11γ,Μη αυθεντικές καταχωρίσεις,KEYWORD_INAUTHENTIC_LISTINGS,
Κατηγορία 11δ,Μη αυθεντικές αξιολογήσεις χρηστών,KEYWORD_INAUTHENTIC_USER_REVIEWS,
Κατηγορία 11ε,Ηλεκτρονικό ψάρεμα,KEYWORD_PHISHING,
Κατηγορία 11στ,Πυραμιδωτά συστήματα,KEYWORD_PYRAMID_SCHEMES,
Κατηγορία 11ζ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 12,Αυτοτραυματισμός,STATEMENT_CATEGORY_SELF_HARM,
Κατηγορία 12α,Περιεχόμενο που προάγει τις διατροφικές διαταραχές,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,
Κατηγορία 12β,Αυτοακρωτηριασμός,KEYWORD_SELF_MUTILATION,
Κατηγορία 12γ,Αυτοκτονία,KEYWORD_SUICIDE,
Κατηγορία 12δ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 13,"Μη ασφαλή, μη συμμορφούμενα ή απαγορευμένα προϊόντα",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,
Κατηγορία 13α,Απαγορευμένα ή υποκείμενα σε περιορισμούς προϊόντα,KEYWORD_PROHIBITED_PRODUCTS,
Κατηγορία 13β,Μη ασφαλή ή μη συμμορφούμενα προϊόντα,KEYWORD_UNSAFE_PRODUCTS,
Κατηγορία 13γ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 14,Βία,STATEMENT_CATEGORY_VIOLENCE,
Κατηγορία 14α,Οργανωμένη βία,KEYWORD_COORDINATED_HARM,
Κατηγορία 14β,Γενικές προτροπές ή υποκίνηση βίας και/ή μίσους,KEYWORD_INCITEMENT_VIOLENCE_HATRED,
Κατηγορία 14γ,Εκμετάλλευση ανθρώπων,KEYWORD_HUMAN_EXPLOITATION,
Κατηγορία 14δ,Εμπορία ανθρώπων,KEYWORD_HUMAN_TRAFFICKING,
Κατηγορία 14ε,Εμπορία γυναικών και κοριτσιών,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Κατηγορία 14στ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 15,Άλλη παράβαση των όρων και προϋποθέσεων του παρόχου,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,
Κατηγορία 15α,Σεξουαλικό υλικό ενηλίκων,KEYWORD_ADULT_SEXUAL_MATERIAL,
Κατηγορία 15β,Ειδικοί ηλικιακοί περιορισμοί,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,
Κατηγορία 15γ,Γεωγραφικές απαιτήσεις,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,
Κατηγορία 15δ,Αγαθά / υπηρεσίες που δεν επιτρέπεται να προσφέρονται στην πλατφόρμα,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,
Κατηγορία 15ε,Γλωσσικές απαιτήσεις,KEYWORD_LANGUAGE_REQUIREMENTS,
Κατηγορία 15στ,Γυμνότητα,KEYWORD_NUDITY,
Κατηγορία 15ζ,Δεν υπάγεται σε καμία άλλη υποκατηγορία,KEYWORD_OTHER,
Κατηγορία 16,Είδος παράνομου περιεχομένου που δεν προσδιορίζεται από τη δημόσια αρχή,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,
Κατηγορία 17,Είδος εικαζόμενου παράνομου περιεχομένου που δεν προσδιορίζεται από τον κοινοποιούντα,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,
