Υπηρεσία,Περίοδος υποβολής εκθέσεων,Κατηγορία παράνομου περιεχομένου,Περιγραφή της υποκατηγορίας «Άλλο»,Εύρος,Αριθμός των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου που ελήφθησαν,Αριθμός των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου,Διάμεσος χρόνος που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Διάμεσος χρόνος που απαιτήθηκε για την εκτέλεση της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Αριθμός των εντολών παροχής πληροφοριών,Διάμεσος χρόνος που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής παροχής πληροφοριών,Διάμεσος χρόνος που απαιτήθηκε για την εκτέλεση της εντολής παροχής πληροφοριών,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου που ελήφθησαν,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την εκτέλεση της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των εντολών παροχής πληροφοριών,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής παροχής πληροφοριών,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την εκτέλεση της εντολής παροχής πληροφοριών
Skroutz,2025-02-17/2025-12-31,TOTAL,,91,3,3,24,48,88,24,168,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ANIMAL_HARM,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT,,0,0,0,,,0,,,,,,,,,
