~~,Περίοδος υποβολής εκθέσεων,Κατηγορία παράνομου περιεχομένου,Περιγραφή της υποκατηγορίας «Άλλο»,Αριθμός των ειδοποιήσεων που ελήφθησαν,Αριθμός των ειδοποιήσεων που ελήφθησαν από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου,Αριθμός των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων,Αριθμός των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Διάμεσος χρόνος που απαιτήθηκε για την ανάληψη δράσης,Διάμεσος χρόνος που απαιτήθηκε για την ανάληψη δράσης (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Αριθμός των δράσεων που αναλήφθηκαν βάσει νόμου,Αριθμός των δράσεων που αναλήφθηκαν βάσει νόμου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Αριθμός των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας,Αριθμός των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των ειδοποιήσεων που ελήφθησαν,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των ειδοποιήσεων που ελήφθησαν από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την ανάληψη δράσης,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την ανάληψη δράσης (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει νόμου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει νόμου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου)
Skroutz,2025-02-17/2025-12-31,TOTAL,,1826,0,1826,0,168,0,1046,0,4,0,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,,,,,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,1542,,1542,,168,,1022,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,,0,,0,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,4,,4,,168,,3,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,1527,,1527,,168,,1012,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,6,,6,,168,,4,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,4,,4,,168,,2,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,,1,,1,,168,,1,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,
