Υπηρεσία,Περίοδος υποβολής εκθέσεων,Κατηγορία παράνομου περιεχομένου,Περιγραφή της υποκατηγορίας «Άλλο»,Αριθμός των μέτρων που ελήφθησαν με πρωτοβουλία του παρόχου,Αριθμός των μέτρων που ελήφθησαν κατόπιν ανίχνευσης αποκλειστικά βάσει αυτοματοποιημένων μέσων,"Περιορισμός της προβολής
Απόσυρση","Περιορισμός της προβολής
Απενεργοποίηση","Περιορισμός της προβολής
Υποβιβασμός","Περιορισμός της προβολής
Ηλικιακοί περιορισμοί","Περιορισμός της προβολής
Περιορισμός αλληλεπιδράσεων","Περιορισμός της προβολής
Επισήμανση","Περιορισμός της προβολής
Άλλο",Χρηματικός περιορισμός Αναστολή,Χρηματικός περιορισμός Παύση,Χρηματικός περιορισμός Άλλο,"Παροχή της υπηρεσίας
Αναστολή","Παροχή της υπηρεσίας
Παύση","Περιορισμός του λογαριασμού
Αναστολή","Περιορισμός του λογαριασμού
Κατάργηση",Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των μέτρων που ελήφθησαν με πρωτοβουλία του παρόχου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των μέτρων που ελήφθησαν κατόπιν ανίχνευσης αποκλειστικά βάσει αυτοματοποιημένων μέσων,"Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Απόσυρση","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Απενεργοποίηση","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Υποβιβασμός","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Ηλικιακοί περιορισμοί","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Περιορισμός αλληλεπιδράσεων","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Επισήμανση","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό της προβολής
Άλλο","Συγκειμενικές πληροφορίες σχετικά με τον χρηματικό περιορισμό
Αναστολή","Συγκειμενικές πληροφορίες σχετικά με τον χρηματικό περιορισμό
Παύση","Συγκειμενικές πληροφορίες σχετικά με τον χρηματικό περιορισμό
Άλλο","Συγκειμενικές πληροφορίες σχετικά με την παροχή της υπηρεσίας
Αναστολή","Συγκειμενικές πληροφορίες σχετικά με την παροχή της υπηρεσίας
Κατάργηση","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό του λογαριασμού
Αναστολή","Συγκειμενικές πληροφορίες σχετικά με τον περιορισμό του λογαριασμού
Κατάργηση"
Skroutz,2025-02-17/2025-12-31,TOTAL,,5,0,5,,,0,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
