Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,,YYYY-MM-DD/YYYY-MM-DD,TOTAL,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Animal Welfare,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Consumer Information,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Cyber Violence,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Cyber Violence Against Women,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Data Protection And Privacy Violations,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Illegal Or Harmful Speech,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Intellectual Property Infringements,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Negative Effects On Civic Discourse Or Elections,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Protection Of Minors,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Risk For Public Security,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Scams And Fraud,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Self Harm,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Unsafe And Prohibited Products,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Violence,,TOTAL,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,Not Specified Order,,TOTAL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SQUARE ENIX LIMITED RECIEVED NO MEMBER STATE ORDERS TO ACT AGAINST ILLEGAL CONTENT DURING THIS PERIOD,,,,,,,,,,,,,,,,,,,
