Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,TOTAL,,2417,N/A,2417,N/A,"4 days, 22:52:00",N/A,0,N/A,301,N/A,,N/A as Square Enix is a Hosting Service,,N/A,,N/A,,N/A,,N/A
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Cyber Violence,,1005,,1005,,"5 days, 0:29:00",,0,,138,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,January 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
