Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Provision of the service Suspension,Provision of the service Termination,Account restriction Termination,Account restriction Suspension,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Upwork Global LLC,2025-01-01/2025-12-31,TOTAL,,3440644,482258,606770,214423,1460326,1525271,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"On the Upwork Marketplace, these are temporary restrictions that limit account activity until the user completes specific steps, such as acknowledging rules, securing the account, or completing identity verification. These restrictions are tailored to the specific risk involved but generally prevent clients and freelancers from appearing in searches, posting jobs, submitting proposals, or sending and receiving payment.","On the Upwork Marketplace, these are permanent blocks that remove an account from active use and are used in instances of repeat or serious violations. In many cases account holders will still be able to log in and access past records but cannot take actions within the marketplace.",,"On the Upwork Marketplace, these are account lockouts that prevent the freelancer or client from accessing their account entirely."
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,12971,0,12966,2361,417,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
