,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Champ d’application,Nombre d’injonctions d’agir contre des contenus illicites reçues,Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Nombre d’injonctions de fournir des informations,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Délai médian nécessaire pour donner suite à l’injonction de fournir des informations,Informations contextuelles sur Nombre d’injonctions d’agir contre des contenus illicites reçues,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Nombre d’injonctions de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction de fournir des informations
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,TOTAL,,,0,0,0,0,0,0,0,Veepee-Privalia n'a reçu aucune injonction d'agir contre des contenus illicites pendant la période de référence,,,,Veepee-Privalia n'a reçu aucune injonction d'agir de fournir des informations pendant la période de référence,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,BIEN-ETRE ANIMAL,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Maltraitance animal,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Vente illegale animaux,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,INFRACTIONS EN MATIERE D'INFORMATION DES CONSOMMATEURS,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Publicité cachée ou communication commerciale, y compris de la part d'influenceurs",,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Informations insuffisantes pour les professionnels,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Informations trompeuses sur les caractéristiques des biens et des services,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Informations trompeuses sur les droits du consommateur,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Non-respect del a réglementation en matièrede détermination des prix,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,CYBER VIOLENCE,,Total,0,0,0,0,,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Brimades et intimidation en ligne,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2024-02-17 / 2024-12-31,Cyberharcelement,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation à la vioelnce ou à la haine en ligne,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traque furtive (stalking) en ligne,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Partage non consenti de matériel (à caractère intime), y compris (dimages) d'abus sexuels (à l'exclusion des contenus représentant des mineurs)",,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Partage non consenti de matériel crée à l'aide de technologie d'hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d'un tiers (à l'exclusion des contenus représentant des mineurs),,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,CYBER VIOLENCE A L'EGARD DES FEMMES,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Brimades et intimidation en ligne exercées sur les filles,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Cyberharcèlement à l’égard des femmes,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traque furtive (stalking) en ligne affectant les femmes,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Désinformation fondée sur le genre,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation illicite à la violence et à la haine à l’égard des femmes,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Partage non consenti de matériel (à caractère intime) affectant les femmes, y compris (d’images) d’abus sexuels à l’encontre des femmes (à l’exclusion des contenus représentant des mineurs)",,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Partage non consenti de matériel créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d’un tiers affectant les femmes (à l’exclusion des contenus représentant des mineurs),,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Aurte,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES DONNES ET VIOLATIONS DE LA VIE PRIVEE,,Total,0,0,,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation de données biométriques,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Falsification de données,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Absence de motif de traitement des données,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Droit à l’oubli numérique,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,DISCOURS ILLEGAL OU PREJUDICIABLE,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Diffamation,,Total,0,0,0,0,0,0,0,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Discrimination,,Total,0,0,0,0,0,0,0,,,,,,,
