Recours et récidive,,,,,,,
,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Nombre total,27,"Le nombre de réclamations correspond aux recours introduits par des vendeurs à la suite d’une décision de modération affectant leurs contenus. Au cours de la période de référence, aucun consommateur n’a introduit de réclamation par l’intermédiaire de ce mécanisme."
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions confirmées,4,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions infirmées,23,"Le taux élevé de décisions infirmées s’explique principalement par la production, par les vendeurs concernés, d’éléments justificatifs complémentaires établissant que les produits effectivement proposés sur la plateforme ne correspondaient pas aux références visées par les fiches d’alerte Safety Gate. Dans certains cas, il s’agissait de produits portant le même EAN mais ayant fait l’objet de modifications correctives postérieures à la publication de l’alerte ; dans d’autres cas, les lots commercialisés différaient de ceux concernés par l’alerte."
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Délai médian,0,Délai en jours. La moitié des réclamations ont été traitées le jour de leur réception.
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de réclamations soumises par l’intermédiaire du mécanisme interne de traitement des réclamations,Décisions non prises,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Nombre de restrictions nouvellement imposées à la suite d’une réclamation soumise par l’intermédiaire du mécanisme interne,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions partiellement infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,"Réclamation contestant une décision de retirer des informations, de rendre l’accès à celles-ci impossible ou de restreindre leur visibilité",Délai médian,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2025-01-01  / 2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,Veepee - Privalia,2024-02-17 / 2024-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de suspendre ou de mettre fin à la fourniture du service,Décisions partiellement infirmées,0,
