Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,TOTAL,,TOTAL,0,0,0,0,0,0,0,"Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period."
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further  granularity in our data and intend to include more specificity in future reports.",TOTAL,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further  granularity in our data and intend to include more specificity in future reports.",TOTAL,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_OTHER,N/A,TOTAL,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,0,0,0,0,0,0,"Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period.","Vimeo.com, Inc. did not receive any EU Member State Orders during this report period."
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further  granularity in our data and intend to include more specificity in future reports.",TOTAL,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further  granularity in our data and intend to include more specificity in future reports.",TOTAL,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further  granularity in our data and intend to include more specificity in future reports.",TOTAL,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further  granularity in our data and intend to include more specificity in future reports.",TOTAL,,,,,,,,,,,,,,
