Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,TOTAL,,111,7,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101,"Vimeo strives to provide accurate and comprehensive data in this transparency report. However, due to the complexities of our content moderation process, some data limitations may exist. Content removal or restriction actions may generate multiple event records, particularly during account termination workflows. Additionally, resolving multiple complaints against a single account with a single moderation action may inflate or distort certain figures. While we endeavor to report activity at the highest level impacting the account, some record duplication may occur. Vimeo is committed to ongoing system enhancements to improve the accuracy and availability of data in our transparency reporting.","This data reflects the number of times Vimeo took action on content using only automated tools, without any human involvement, after the content was detected.",,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_OTHER,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,"This Digital Services Act Transparency Report provides data at the Content Category level.  Due to limitations in Vimeo's current systems and tooling, we are unable to provide data at the sub-category level for this reporting period. We are actively working toward further granularity in our data and intend to include more specificity in future reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
