Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,TOTAL,,149506,20093,47105,7,N/A,N/A,N/A,5797,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76504,"The year-over-year decrease in total ""Own Initiative"" measures is driven, in part, by the success of our 2024 anti-spam initiatives. Following a large-scale cleanup of malicious spam accounts in 2024, we have seen a sustained reduction in that activity, resulting in fewer necessary enforcement actions this period. Additionally, Vimeo updated its EU copyright enforcement framework to align the processes more closely with applicable legal requirements. As part of this transition, the company moved away from broad detection signals in favor of a more notice-driven and targeted approach. This change reduced the volume of automated flags while maintaining effective mechanisms for addressing verified infringement.",,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,5,0,4,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,5,0,4,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,213,14,148,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,198,14,140,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,7,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,8,0,8,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
All,"Vimeo.com, Inc.",2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,,,,,,,,,,,,,,,
